,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
MEIS1,-16.894963233934085,-17.300966894463222,-18.084140116878313,-17.39513899852695,-15.020878569902347,-16.24257269294212,-16.155329772350818,-15.473687495227399,-17.593785107360535,-15.752511496110557
TRIM43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.50253324310221
CIAO1,-13.76511567186711,-13.731352358075503,-13.72658811226023,-13.80046134297258,-14.179849114455052,-13.859073128084932,-13.798287824319587,-13.890968688645703,-13.442391388809822,-13.552573925601804
ZNF514,-15.165924555539508,-15.133588575131258,-14.968662899458378,-14.734227644572494,-14.944729230976552,-15.021157376310061,-14.50396604590715,-14.488900589173905,-14.914495224091228,-14.853440404961338
SNRNP200,-13.083379598421295,-11.648434873580905,-12.386014264575469,-12.774869629069842,-12.258913000274413,-11.873228606567697,-11.718889796339749,-11.902239800980725,-12.450643241855184,-12.698695661366845
MRPS5,-14.477457479064492,-14.42649777654708,-14.657875362176215,-14.49606790737773,-14.224175029344005,-14.151494576134855,-14.167139074640449,-14.09698781538691,-14.04335028976765,-13.71403734829592
ANKRD53,-23.0847877928141,-19.95631872307578,-19.861747695541865,-21.6045923641559,-21.96339307524159,-21.641743786761943,-21.263854229128984,-21.896593237839582,-22.21827597226833,-20.961964861739506
TPRKB,-17.177897197205585,-16.99284459910089,-17.76221202199095,-17.21227494137714,-16.78017125118582,-16.298335964464126,-16.2980699444669,-16.299658095452347,-17.428199041642564,-16.502533243102206
NAT8,-18.625356174176805,-15.66353697384793,-21.66910261759947,-22.6045923641559,-19.37843057452043,-21.9636718816493,-22.263854229128984,-22.63355883200579,-19.159382283214764,-17.28953951976801
EXOC6B,-16.609054361847708,-15.983626069071512,-15.624708498241016,-15.034736755824952,-15.978499967631798,-15.839550569820116,-15.315486997544308,-15.53552674904526,-15.598667328740284,-15.303753378987713
SFXN5,-15.56908795453006,-15.255879004934686,-15.161307977400774,-15.366187624830822,-15.571075652462829,-15.393816273318356,-15.522387242727836,-14.734705555462687,-15.623329382974553,-15.544112346853607
TEX261,-15.530198941136465,-14.474115796779822,-15.069189775412342,-15.876671909592702,-15.986113151741671,-15.90297594996175,-15.997067688434083,-16.028696773846928,-15.989457281772449,-15.906682426238316
DQX1,-21.084787792814105,-21.27824681796314,-20.084140116878313,-21.6045923641559,-21.226427481075383,-20.056781286040785,-21.093929227686672,-19.826203909948184,-21.481310378102123,-19.961964861739506
DUSP11,-14.64599594023584,-15.174959009551118,-14.98260209041625,-14.778043876864984,-15.028719323119532,-15.021157376310061,-14.716959769241349,-14.85219911848113,-14.628312790488808,-14.310913170560577
ST6GAL2,-21.499825292092947,-22.27824681796314,-20.66910261759947,-21.019629863434744,-20.548355575962745,-19.9636718816493,-20.45649930707138,-20.131058491476605,-22.21827597226833,-17.234044407176306
NPHP1,-21.499825292092947,-21.27824681796314,0.0,-21.6045923641559,-21.548355575962745,-20.378709380928147,-20.093929227686672,-20.63355883200579,-20.995883550931882,-16.470111765409833
MALL,-21.084787792814105,-20.693284317241982,-19.347174522712105,-22.6045923641559,-18.690374580835172,-20.378709380928147,-21.456499307071383,-21.41116641066934,-20.995883550931882,-18.31810867196478
THNSL2,-17.658523038112005,-18.956318723075775,-17.499177616157155,-18.21227494137714,-18.74100065390514,-21.9636718816493,-21.263854229128984,-18.759089714089647,-18.803238472989488,-17.961964861739506
RALB,-12.116120999618893,-12.58999650882996,-13.09924700926852,-13.128858933189502,-12.235472620678388,-12.074548225355066,-12.275524579897898,-12.306380476431222,-12.885120621957713,-12.954937594845537
C1QL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.803238472989488,-19.792039860297194
TMEM177,-17.955504775869137,-17.754684861906128,-16.94118216303627,-17.475309347210935,-18.460892734712406,-17.9636718816493,-17.693998620798038,-17.951734792032042,-17.653491353484803,-17.83268184479454
NT5DC4,-19.76285969792674,-18.956318723075775,-20.66910261759947,-19.797237442098293,-19.37843057452043,-18.57135445887054,-18.535933774565784,-20.63355883200579,-21.481310378102123,-18.64003676685214
RABL2A,-17.177897197205585,-16.49688710443848,-16.811121622471898,-16.496067907377732,-17.690374580835172,-17.009475571262428,-17.025449489803904,-17.560309849975148,-17.481310378102123,-16.961964861739506
SLC20A1,-13.88511544797774,-12.815744545365874,-13.638435481352527,-13.656225132571223,-13.219680648634798,-13.543711703801412,-13.349469096973543,-13.685191600421112,-13.33359665574997,-13.392109253408556
FBLN7,-18.625356174176805,-18.754684861906128,-18.276785194820707,-20.282664269268537,-18.690374580835172,-19.105690886521728,-18.07402967024897,-17.989702642231062,-18.593785107360535,-17.3472550176243
ZC3H8,-16.177897197205585,-16.1907839767128,-16.811121622471898,-16.264742361271274,-15.734574384745708,-15.270184924149977,-15.054400863500035,-15.157825401039391,-15.849042162602611,-15.26847790424018
LIPT1,-16.997324951563762,-17.577807099822046,-18.025246427824744,-17.178327609453802,-17.226427481075383,-16.91927776229085,-17.208571793627794,-17.17412721336849,-17.37697371828739,-17.031227524176618
CNGA3,0.0,-22.27824681796314,0.0,0.0,0.0,0.0,0.0,0.0,-22.21827597226833,-18.261525143598416
FAHD2B,-18.561225836757092,-18.470891895905535,-17.5398196006545,-18.43466736271359,-20.226427481075383,-18.60611987703122,-18.941926134241623,-18.603811488611736,-17.67395545604452,-17.640036766852145
LYG1,-19.91486279137179,-19.470891895905535,-22.66910261759947,-19.797237442098293,-19.226427481075383,-19.009475571262428,-18.804422610491688,-19.26432502234007,-19.159382283214764,-18.71403734829592
AFF3,-15.277432870756499,-14.081030124853088,-14.565814809187447,-14.939256446970724,-13.796811516873644,-13.277171354466084,-13.071561414658218,-13.071952656986157,-14.508617724097862,-14.807146752687402
UBXN4,-12.753870914699485,-13.087187603431483,-13.025246427824744,-12.289442801899598,-12.498507026512183,-12.358192363587634,-12.33385616651996,-12.296680395652453,-12.47232159487487,-12.57394757639437
NXPH2,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,-24.218521332726944,0.0,-20.961964861739506
SPOPL,-12.228362264188572,-13.435896474549331,-13.122208157711832,-11.685729126881306,-12.071609372023278,-11.733050948519436,-11.71720088147403,-12.222754181849142,-12.604179649336466,-12.55575985632065
THSD7B,0.0,-23.27824681796314,0.0,0.0,0.0,0.0,-24.26385422912898,0.0,0.0,-18.207077359576036
GPR17,-23.0847877928141,-22.27824681796314,-21.66910261759947,-22.6045923641559,0.0,-23.9636718816493,-24.26385422912898,-24.218521332726944,-23.803238472989488,-20.961964861739506
POLR2D,-15.426576310062309,-14.992844599100891,-14.836212603434726,-14.685729126881304,-15.715465561798004,-15.330676684506344,-15.244263500771103,-15.258519400658862,-15.319422695725232,-15.148183670522467
AMMECR1L,-16.06241997978565,-15.128499698458457,-15.61382018209828,-15.434667362713588,-15.83411005829662,-15.664463863262023,-15.3067521875667,-15.800668817841045,-15.618363130081203,-15.812217742234822
GALNT13,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,0.0,0.0,-19.055074266130987
PKP4,-16.356867338250904,-15.716004393742068,-15.177249521269795,-16.582224551127446,-15.72180708867183,-15.632755003534685,-15.336076267046643,-15.746846118334899,-16.30339258590628,-15.622114858854882
SCN1A,-23.0847877928141,-22.27824681796314,-22.66910261759947,0.0,-23.548355575962745,-23.9636718816493,-23.263854229128984,-21.63355883200579,-22.803238472989488,-18.1546099396819
SLC4A10,-16.514932184483154,-18.324050507576263,-18.347174522712105,-15.404920019319535,-19.641464980354225,-17.60611987703122,-19.871536806350225,-19.41116641066934,-16.52711406771525,-17.18060514821485
