,GSM4715941,GSM4715945,GSM4715946,GSM4715949,GSM4715974,GSM4715979,GSM4715982,GSM4715984,GSM4715991,GSM4715992
TSPAN6,-20.2774328707565,-20.95631872307578,-20.084140116878313,-21.019629863434744,-21.226427481075383,-21.378709380928147,-20.263854229128984,-20.759089714089647,-20.21827597226833,-18.207077359576036
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,0.0,0.0,-20.961964861739506
DPM1,-15.258239305523187,-16.011460277268238,-15.50923128082108,-15.54930992865471,-15.588353643894663,-14.983532304010145,-15.069097374706738,-14.975347349253994,-15.410921050210728,-14.807146752687402
SCYL3,-14.119003508152018,-14.392550444623744,-14.397639589695093,-13.914594392736454,-14.317134395251559,-14.405251168380637,-14.300958223791726,-14.382470977668874,-13.800423457382434,-13.814759936797277
C1orf112,-15.781007044636999,-16.212157627505366,-15.635679616062017,-15.746611369028328,-16.080750025879745,-15.99212832769853,-15.955515198989579,-15.928502485794327,-15.769815471452036,-15.261525143598414
FGR,-10.879299972663537,-10.696104836304363,-10.741324655517127,-11.370972687396197,-10.346537959294823,-10.858581830603296,-11.141187980500185,-10.922035246111477,-10.954811138965558,-11.538848951592405
CFH,-20.2774328707565,-18.523359315799674,-19.20967099896217,-21.6045923641559,-19.30042806251916,-20.641743786761943,-21.263854229128984,-20.311630737118424,-19.995883550931882,-18.261525143598416
FUCA2,-15.781007044636999,-15.67091650421353,-15.259711681461768,-15.84970486199243,-15.413929255741818,-15.90297594996175,-16.14491315640548,-15.726668236397268,-15.021878759464826,-15.354634547989894
GCLC,-15.56122583675709,-15.365357481733177,-15.185286840335213,-14.533130001599275,-14.117903024297211,-15.305460398897509,-14.537636069796786,-13.867582151180512,-15.23338286465854,-15.552573925601804
NFYA,-13.8180012521192,-13.691407030001312,-13.894315557998295,-12.986206861897294,-13.86536099228106,-13.462830002092371,-13.421503885715177,-13.910182302587536,-14.164802558999016,-13.953536239668923
STPG1,-17.412362450842608,-17.55032636339994,-17.025246427824744,-16.081030408098886,-17.99376672428511,-17.678269662787056,-17.356963633520465,-17.69495937666993,-17.36029497714076,-16.853440404961336
NIPAL3,-13.976263336035935,-13.372859812945007,-13.808015711604074,-13.712808660937588,-14.097144464130414,-13.6887114095087,-13.57211070995771,-13.722666305839773,-13.286553523679876,-13.07474424627112
LAS1L,-15.56908795453006,-14.979038799575862,-15.09924700926852,-15.685729126881304,-15.39353746691064,-15.133949146563243,-14.910707403630903,-15.099580260003437,-14.136126930914457,-14.286007828797757
ENPP4,-15.323236560369622,-15.341608878960567,-14.961743485518587,-14.337805823460997,-16.40880422356395,-15.520728385800574,-15.453282594387838,-15.480429073106453,-13.997494600837868,-14.237451008619557
SEMA3F,-23.0847877928141,-20.95631872307578,-20.084140116878313,0.0,-23.548355575962745,0.0,-23.263854229128984,-24.218521332726944,-23.803238472989488,-20.1546099396819
CFTR,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,-24.218521332726944,0.0,-17.79203986029719
ANKIB1,-13.729436696389289,-13.658026992455651,-13.897613148098872,-13.573925227908958,-12.984206085977013,-13.190532674929612,-13.263854229128983,-13.05550069314615,-13.102798754848395,-13.097778717085225
CYP51A1,-15.576993152615408,-14.827035706130811,-15.402316076904567,-14.897233232075017,-15.168977208891482,-15.416777421761667,-15.76400834204578,-15.35124259301728,-14.747956037488297,-15.12276107364256
KRIT1,-14.346695533193614,-14.503459758361965,-14.49417693509879,-13.873273333130836,-13.729773398481887,-13.627165321839048,-13.50396604590715,-13.469489950686741,-13.64084714423258,-13.619890193740368
RAD52,-16.56122583675709,-15.634390628188415,-16.129943806491436,-15.97523574407629,-16.272231170688507,-15.91382333219874,-15.816771002919333,-15.951734792032042,-16.041687240545006,-16.19378053696258
BAD,-16.303428079289446,-16.73908800685511,-15.874686751249364,-15.91809183697268,-16.875930233991248,-16.773847322769285,-16.941926134241623,-16.323703569419,-15.715775631739147,-16.71403734829592
LAP3,-10.836267187875674,-11.545231496277175,-13.833052262541399,-14.023391782230942,-11.008227537380645,-14.18723884920457,-14.017113630635842,-14.310128711953192,-11.119585875594737,-10.85409394745989
CD99,-13.917369646982365,-14.174959009551118,-13.24493632878137,-14.116752330332849,-14.445067767550722,-13.86038407323728,-14.369036465821042,-14.031169259526449,-14.250569375475216,-14.24086567303232
HS3ST1,-17.625356174176805,-18.577807099822046,-17.714906307212594,-16.98988252004069,-17.847915857821654,-17.143492919234113,-16.78003845186473,-16.574665142952217,-17.218275972268334,-16.502533243102206
AOC1,-18.084787792814105,-15.439043029866195,-22.66910261759947,-21.019629863434744,-20.548355575962745,-18.319815691874577,-22.263854229128984,-19.218521332726944,0.0,-19.37700236101835
WNT16,-17.997324951563762,-18.577807099822046,-19.20967099896217,-17.746611369028326,-18.30042806251916,-17.471818785319627,-17.508966726965514,-17.826203909948184,-17.46338847010486,-17.18060514821485
HECW1,0.0,-23.27824681796314,0.0,0.0,-23.548355575962745,0.0,-24.26385422912898,0.0,-21.803238472989488,-16.733146171243625
MAD1L1,-15.04039367345565,-14.298107240323983,-14.411714774906818,-14.91809183697268,-14.911730955419095,-14.715744368205716,-14.667664472984574,-14.714695594731193,-13.99266683824834,-14.296628944554328
LASP1,-12.68390835653192,-11.595252234281457,-11.970397950829124,-12.759102313211525,-12.886577478190755,-12.64739034990308,-12.788627451386718,-12.981909132511193,-13.055884643511426,-13.401632027527064
SNX11,-14.22370088681871,-14.15930574523963,-14.311550612981383,-13.94281426638391,-14.706005232548938,-14.847327920411834,-15.069097374706738,-15.182347720173459,-14.661131415686937,-14.906682426238316
TMEM176A,-14.35346876178904,-14.35640588088865,-17.421175104155886,-17.282664269268537,-15.800162726373284,-15.803800544870914,-16.482494515604326,-15.788068781061412,-17.574419782493607,-17.207077359576036
M6PR,-11.97953401311322,-12.025581385512892,-12.177249521269795,-12.037586993908864,-12.601449301506346,-12.502192434363147,-12.735400118364197,-12.515482943740528,-11.336907050906719,-11.398291901911993
KLHL13,-19.91486279137179,-20.95631872307578,-19.499177616157155,-20.282664269268537,-21.548355575962745,-19.79374688020699,-19.508966726965518,-19.896593237839582,-19.803238472989488,-18.261525143598416
CYP26B1,0.0,0.0,-18.861747695541865,0.0,-23.548355575962745,0.0,0.0,0.0,-23.803238472989488,-17.917570742381052
ICA1,-17.955504775869137,-18.233852698604686,-18.025246427824744,-18.282664269268537,-17.715465561798002,-18.378709380928147,-18.591428887157488,-18.089238315781976,-18.311385376659814,-17.1546099396819
DBNDD1,-20.499825292092947,-18.324050507576263,-18.581639776349128,-18.797237442098293,-20.088923957325445,-19.26323216350821,-19.45649930707138,-19.63355883200579,-19.21827597226833,-18.961964861739506
ALS2,-15.753870914699487,-15.002122412688903,-15.571070534638942,-15.746611369028328,-14.796811516873646,-14.911103830845148,-14.703521394916544,-14.903371770470644,-15.170243275846529,-14.853440404961338
CASP10,-12.814492466342063,-12.322596910434765,-13.00910672516949,-13.886915941089503,-12.726581593992176,-13.215479032059841,-13.32868917952529,-13.262145175477272,-12.217806421396524,-12.28512625526535
CFLAR,-9.514694918626049,-9.417450807228514,-9.831671787378147,-9.461368608032048,-9.226779744547011,-9.028092429892657,-9.17531440970514,-9.598015104772585,-10.353444990057662,-10.090252098904283
TFPI,-16.609054361847708,-16.73908800685511,-16.714906307212594,-16.627312440655984,-15.59415926557587,-15.941304068620846,-16.054400863500035,-15.281883393724373,-17.24864962131185,-16.079321812377664
NDUFAF7,-15.8180012521192,-16.11837548118475,-16.069189775412344,-15.220888071681847,-15.509436586670443,-14.855147424871134,-14.756059588930288,-14.482119401408655,-15.331563258597443,-15.227255241513667
RBM5,-11.420785029927602,-11.659861315704532,-11.840966133405363,-11.48370652136811,-11.540277165094487,-11.219468730516473,-11.166645085578649,-11.38089339955554,-11.298419485356645,-11.282044983221086
MTMR7,-18.226806797686532,-18.108321816520828,-17.624708498241013,-16.904152646014808,-17.875930233991248,-17.291246539677807,-16.941926134241623,-17.323703569419003,-18.159382283214764,-16.60441285712142
SLC7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.803238472989488,-17.83268184479454
ARF5,-14.64599594023584,-14.814722444691958,-14.714906307212592,-14.759102313211525,-15.39353746691064,-15.36004553666311,-15.508966726965516,-15.35124259301728,-15.045015258262763,-15.33991304228313
SARM1,-16.855969102318223,-15.27824681796314,-15.592287020548637,-16.050003512478263,-17.690374580835172,-17.05678128604078,-16.76400834204578,-16.980116593401867,-17.295443832790788,-16.98468493823959
POLDIP2,-14.186942336808594,-14.435896474549331,-13.968662899458378,-15.128858933189502,-14.638462492192703,-15.003669949581221,-14.917340495963348,-14.67742471737742,-14.153982295472174,-14.230645830714442
PLXND1,-15.986755709853576,-14.044627141203437,-14.738365280036582,-15.662077858816659,-15.16033829061761,-15.341620062192927,-15.591428887157488,-15.618608490539815,-16.481310378102123,-16.234044407176306
AK2,-12.90612294180763,-13.272622268769261,-13.000217633333223,-12.930400096010217,-13.311145615207723,-13.44698693233969,-13.35621242546346,-13.319164409803832,-12.313390512550187,-12.47011176540983
CD38,-14.8040170226835,-12.949571890635191,-13.41407404778074,-14.057697904268263,-13.605841070623503,-14.673653034716683,-14.724695418020953,-13.943560860586343,-13.543495209298705,-13.202076678517672
FKBP4,-14.740491884898287,-13.40172987139814,-14.798737898016064,-14.44472102737751,-14.783483985226654,-14.788746199148623,-15.001759383758806,-14.794355043908846,-14.456724739823851,-13.567502167129188
KDM1A,-14.333243733725004,-14.016151972592958,-13.842554130308553,-14.836408039378973,-14.111644033825531,-13.815195299471025,-13.721789686845542,-13.705780869923446,-13.051694413900389,-13.234044407176306
RBM6,-13.902393439409574,-13.11963712974866,-14.153402779315426,-14.088892525871856,-12.582571291300658,-12.124861895940743,-12.200796265505495,-12.174468800925641,-13.20984735019775,-13.296628944554328
CAMKK1,-16.997324951563762,-16.34750948040025,-16.129943806491436,-16.496067907377732,-16.59415926557587,-16.60611987703122,-16.8629747928468,-16.323703569419,-17.021878759464826,-17.60441285712142
RECQL,-13.497948004852278,-13.873105354826794,-13.77731891438116,-13.16372319654503,-13.696606534546687,-13.343452056141816,-13.4964973750033,-13.325978516078393,-12.661769917596404,-12.68816926252524
VPS50,-14.654335241148571,-14.860394303077243,-14.686109042905159,-13.700710518419719,-14.097144464130414,-14.006569840087018,-14.012371818508772,-13.846744688389022,-13.439103817981437,-13.47211690130021
HSPB6,-20.76285969792674,-21.27824681796314,0.0,0.0,-21.548355575962745,-22.378709380928147,-21.093929227686672,-20.759089714089647,0.0,-20.64003676685214
ARHGAP33,-21.084787792814105,-18.693284317241982,-21.66910261759947,-22.6045923641559,-21.226427481075383,-20.056781286040785,-19.40587323400141,-20.04859633128463,-20.21827597226833,-19.37700236101835
NDUFAB1,-15.245584004717161,-16.108321816520828,-15.201497067516472,-15.291709408871544,-16.36844648594781,-15.924752892357,-16.230431227591534,-15.826203909948184,-15.541143627619306,-15.135416374448589
PDK4,-13.820345192587501,-17.395603768601298,-15.94118216303627,-15.797237442098295,-13.442447067391585,-14.038859378043522,-15.5427550404218,-14.346616095067757,-13.200539607971523,-14.180605148214847
SLC22A16,-18.762859697926743,-19.27824681796314,-18.499177616157155,-17.560198244797448,-17.50396145660429,-19.876209040398965,-17.941926134241623,-18.518081614585853,-18.048350970826018,-16.874502020489167
ZMYND10,-17.799385573951856,-17.577807099822046,-17.20967099896217,-17.904152646014808,-18.690374580835172,-17.855147424871134,-18.093929227686672,-18.152432142269173,-18.410921050210725,-20.1546099396819
ABCB5,-23.0847877928141,-20.693284317241982,0.0,-21.019629863434744,-19.460892734712406,-20.9636718816493,-19.941926134241623,-19.41116641066934,-21.803238472989488,-17.37700236101835
ARX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.218521332726944,0.0,-22.961964861739506
SLC25A13,-16.470077948698894,-16.786393721633463,-16.259711681461766,-16.475309347210935,-15.948442733775616,-16.479856104385046,-16.19776503867121,-16.404740141509908,-16.021878759464826,-16.079321812377664
ST7,-18.04039367345565,-17.255879004934684,-16.259711681461766,-17.145160745518602,-16.571075652462827,-16.773847322769285,-17.230431227591534,-16.648665724395997,-17.445686468371402,-16.535700107037407
CDC27,-13.127685751251816,-13.197429290354812,-13.010891134847673,-13.244842803833569,-12.288612312271963,-12.868274858856747,-12.699704739143254,-12.342771981306889,-12.537623426505029,-12.579340835164588
SLC4A1,-12.88143978983434,-11.173320514155364,-10.077112849984344,-11.079071555060828,-10.996166816405594,-13.915185007656968,-12.778528039888462,-11.581217210620743,-12.987054791557144,-12.956340312545628
CALCR,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,-24.218521332726944,-23.803238472989488,-20.64003676685214
HCCS,-15.625356174176806,-16.15930574523963,-15.811121622471896,-16.697701768547383,-16.253734827071117,-16.37121484438122,-16.49566990435206,-16.218521332726944,-15.608481618567238,-15.64908190645515
DVL2,-16.818001252119203,-15.754684861906128,-16.5605781608213,-16.560198244797444,-16.933645731847534,-16.986391958149387,-16.83758947442689,-16.843481901380017,-16.758844353631034,-16.874502020489167
PRSS22,0.0,-23.27824681796314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.64003676685214
UPF1,-13.356867338250902,-12.431189471871804,-13.169256730516262,-13.432164855510417,-12.988022741750303,-12.77879653874102,-12.936301585047744,-13.209392543187686,-13.612179258457829,-13.797057935063819
SKAP2,-13.59093234357328,-13.925099992465057,-13.552758656362002,-12.514479944491612,-12.837549142263393,-12.593529402153903,-13.168457206336427,-12.98850089702131,-14.658580230157606,-14.582586494668243
SLC25A5,-13.126235077383091,-13.31824488589506,-12.759209533829427,-12.490850198106711,-14.054500126721921,-13.558530418512959,-13.717924460043516,-13.424105466376838,-12.745246750230312,-12.64908190645515
MCUB,-13.701083500340053,-14.338667603648446,-14.421175104155884,-13.86650010453541,-14.295690143512495,-14.179037036091783,-13.968085294708477,-13.936591305771502,-13.767064860436003,-13.446265023455462
HOXA11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.792039860297194
POLR2J,-14.8040170226835,-15.201431220912308,-14.80491647294519,-17.650396053769025,-15.59415926557587,-15.632755003534685,-15.95097127384463,-15.596469513270568,-15.20332563080236,-14.978971287045196
DHX33,-16.484874950626978,-15.835303322114411,-15.646734804571015,-16.53850317369813,-15.861855048779525,-15.9636718816493,-15.841789462956172,-16.068774213222262,-16.00882260663938,-15.961964861739505
MEOX1,-21.084787792814105,-19.95631872307578,-20.66910261759947,-21.019629863434744,-21.96339307524159,-22.378709380928147,-20.45649930707138,-20.311630737118424,-19.803238472989488,-18.31810867196478
THSD7A,-21.084787792814105,-21.693284317241982,-20.66910261759947,-19.797237442098293,-20.548355575962745,-21.1563169595917,-20.67889172840783,-19.26432502234007,-19.71577563173915,-17.031227524176618
LIG3,-14.363688604106919,-13.748816263816988,-13.771257161593956,-13.846369149429174,-14.132613807672655,-14.180673672728888,-14.093929227686674,-14.299658095452347,-13.968767423005264,-14.049075525509544
RPAP3,-14.127685751251816,-15.133588575131258,-14.686109042905159,-14.449774255103794,-13.846182890597197,-14.013845170890193,-13.793195355068432,-14.09698781538691,-14.033400629360047,-14.144981238484123
ACSM3,-16.119003508152016,-17.605821475991643,-17.347174522712105,-17.39513899852695,-17.02479361990573,-16.487938450682904,-16.155329772350818,-15.989702642231062,-16.499457724812384,-16.14178589932432
AC004381.6,-18.692470370035345,-18.233852698604686,-17.914215115436,-18.282664269268537,-18.548355575962745,-19.009475571262428,-19.804422610491688,-18.335878283365105,-18.758844353631034,-17.28953951976801
CIAPIN1,-15.096103106041937,-15.318244885895057,-15.177249521269795,-15.112739267826225,-15.709151787865801,-15.669051132757676,-15.667664472984574,-15.607496535419592,-14.366526930852272,-14.519021365890778
SPPL2B,-16.398287265630884,-15.37135622235462,-16.836212603434728,-18.21227494137714,-16.097144464130416,-15.504240263012004,-15.44048698908275,-15.382470977668874,-16.30339258590628,-17.1546099396819
FAM214B,-14.323236560369622,-14.286724971887443,-13.829898829502524,-14.715849115257639,-14.582571291300658,-15.03885937804352,-14.724695418020953,-14.598301507219457,-15.002338573069183,-15.853440404961338
COPZ2,-19.625356174176805,-20.693284317241982,-19.347174522712105,-22.6045923641559,-20.74100065390514,-20.9636718816493,-21.093929227686672,-22.218521332726944,-18.84904216260261,-19.50253324310221
PRKAR2B,-12.785579774426825,-14.598766718457695,-14.043393774535005,-12.443460481171591,-11.721409925547258,-11.64682469804683,-12.315486997544308,-11.571062906272022,-14.010448178688423,-13.94794439142457
MSL3,-13.154050455251218,-13.343081768359445,-13.979104646180023,-13.978883521091433,-13.051501798574703,-13.076451266180918,-12.725665297076565,-12.8272777432995,-13.943703686606835,-13.697522261512905
CREBBP,-13.73164096731602,-11.722219825238463,-12.372186410720179,-13.216575078810765,-12.71625672992361,-12.592984474842083,-12.630859031986025,-13.104779166677757,-14.347911252684925,-13.990421307788734
TSPOAP1,-16.72723578819602,-14.013804217736537,-16.177249521269797,-16.84970486199243,-17.190803571344663,-16.137123394358387,-16.45649930707138,-16.329778083828685,-16.747956037488297,-17.502533243102206
MPO,-18.384348074673014,-18.577807099822046,-17.20967099896217,-18.69770176854738,-16.281569035267843,-18.409083029971665,-18.804422610491688,-18.19615351969849,-18.021878759464826,-18.37700236101835
PON1,-23.0847877928141,-23.27824681796314,0.0,0.0,0.0,-21.9636718816493,-22.67889172840783,-21.41116641066934,-23.803238472989488,-18.64003676685214
GCFC2,-15.799385573951854,-16.395603768601298,-15.635679616062017,-15.16164886830717,-15.424234264133556,-15.294786897383055,-14.895347767621292,-14.83914296565568,-14.750670422185335,-14.95634031254563
WDR54,-17.83686027937052,-17.49688710443848,-16.738365280036582,-17.178327609453802,-18.594159265575872,-17.793746880206992,-17.871536806350225,-17.69495937666993,-16.15218678181056,-16.347255017624295
CROT,-16.165924555539508,-16.407882098379737,-16.88774290407481,-16.356664850712313,-16.715465561798002,-16.35634156789969,-16.10903612007688,-16.06370322367484,-15.364446620411226,-15.303753378987713
ABCB4,-16.976263336035935,-17.324050507576263,-17.05439277348426,-15.538503173698128,-16.16465128348869,-15.6598911334722,-15.519020391629438,-15.17412721336849,-15.638331546313799,-15.604412857121421
KMT2E,-12.883889187775658,-12.095852464558611,-12.484227274691184,-12.040442874170168,-11.617248742933402,-11.591895237311379,-11.443675266713797,-11.704300423368815,-12.746600757876285,-12.638910101397858
RHBDD2,-16.72723578819602,-16.324050507576263,-16.069189775412344,-17.849704861992432,-17.690374580835172,-17.471818785319627,-17.92400422624436,-17.759089714089647,-18.075318018426287,-17.79203986029719
SOX8,-19.625356174176805,-19.37135622235462,-20.084140116878313,-20.6045923641559,-20.74100065390514,-20.1563169595917,-19.61999803935426,-19.97059381928336,-19.5553109595459,-18.64003676685214
IBTK,-13.986755709853577,-14.214851736674628,-13.38139023805002,-13.385423843693738,-13.523216013684237,-13.380589114146371,-13.387337282563985,-13.21079321809469,-13.039196255682901,-12.909396810935352
ZNF195,-15.245584004717161,-15.67091650421353,-15.44028392710359,-15.319190145293652,-15.0326557376787,-15.024092667334608,-14.997067688434083,-14.99693421146214,-14.95774842204511,-14.403544148470841
MYCBP2,-12.039710740879162,-10.590652428387013,-11.92763563119832,-11.652579199266413,-10.060641130391428,-10.250715059951752,-10.167550861439558,-10.246349251286148,-10.719094462374342,-10.649365482876878
FBXL3,-12.297701468262487,-13.311020559127144,-12.920909768010008,-12.238270149910084,-12.743417903910835,-12.651923566644342,-12.515661379539523,-12.635908881459926,-12.350482443956993,-12.436444052644434
ITGAL,-12.984125453808906,-11.007367522634354,-12.22615912175074,-12.296253334016491,-12.091487837582402,-12.359582020180122,-12.434131494042928,-12.648191231696146,-12.849042162602611,-13.456153307819912
PDK2,-16.93504067330942,-16.12849969845846,-15.635679616062017,-18.081030408098886,-16.978499967631798,-17.348962037534093,-17.443675266713797,-17.463633830563474,-17.410921050210725,-17.234044407176306
ITGA3,-18.440931603039378,-17.27824681796314,-17.66910261759947,-19.282664269268537,-19.024793619905733,-18.44010992559229,-18.19776503867121,-18.69495937666993,-18.633313471547176,-17.53570010703741
ZFX,-13.475609054672123,-12.724617524046776,-13.187303185933716,-12.774869629069842,-13.089948962726211,-12.890199727672842,-12.785590197547265,-12.983105397124417,-12.278696757953638,-13.056577856721375
LAMP2,-11.246765734509557,-11.819840204726606,-11.607731424939658,-10.931283288594205,-11.605474578803705,-11.501169609052038,-11.541900616327599,-11.798824444420964,-11.265049540937067,-11.618779146291626
ITGA2B,-14.49607315723184,-13.898868450891879,-13.783406244260073,-12.409835509733652,-12.932725938994645,-12.767069755126132,-13.92400422624436,-12.747862458666393,-15.423860105918225,-15.552573925601804
ASB4,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,-24.218521332726944,-23.803238472989488,-18.64003676685214
GDE1,-13.490463188889256,-14.076122994132678,-13.390653159378989,-13.015877728573635,-13.56678829405973,-14.143492919234113,-13.800329855857804,-13.700851944593131,-13.903881550066375,-14.21713102423996
C19orf60,-15.514932184483154,-15.306703264012366,-15.489193527584536,-15.890346846489779,-15.766995862438085,-15.363759039462174,-15.261039213521931,-15.504275815060822,-15.360294977140759,-16.00776855135263
CRLF1,-18.177897197205585,-19.03031930451955,-18.581639776349128,-20.019629863434744,-19.088923957325445,-18.678269662787052,-19.13457121218402,-19.218521332726944,-18.758844353631034,-20.64003676685214
OSBPL7,-17.01869860235633,-15.16972236118497,-16.259711681461766,-17.475309347210935,-17.009196764854714,-16.363759039462174,-16.369036465821043,-16.43061877333551,-16.38538595810359,-16.77214030285949
TMEM98,0.0,0.0,-22.66910261759947,0.0,-20.963393075241587,0.0,0.0,-22.218521332726944,-21.481310378102123,-17.502533243102206
YBX2,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,-24.26385422912898,0.0,0.0,-21.377002361018352
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.377002361018352
MAP3K14,-16.119003508152016,-14.974466069786036,-15.44028392710359,-16.065433553047868,-16.70286552501837,-16.06885411834136,-16.387337282563987,-16.525034375227616,-16.37697371828739,-16.676562642877258
ABCC8,0.0,0.0,0.0,0.0,0.0,-23.9636718816493,0.0,0.0,-22.21827597226833,-17.676562642877258
CACNG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.218521332726944,0.0,-18.50253324310221
TMEM132A,-17.440931603039378,-16.786393721633463,-15.479278058719453,-17.21227494137714,-17.190803571344663,-17.62382187876468,-17.49566990435206,-17.618608490539817,-17.82595854948957,-17.640036766852145
AP2B1,-13.065197064456221,-11.963663573688944,-12.404660017372867,-13.100766626160148,-12.001943380843393,-12.559594745408068,-12.491952148431269,-12.243389875805605,-12.766378026316442,-12.715224263246363
TAC1,0.0,0.0,-22.66910261759947,0.0,0.0,0.0,0.0,0.0,0.0,-20.377002361018352
ZNF263,-13.997324951563765,-14.410968078253479,-14.106860193378397,-14.212274941377139,-14.933645731847536,-14.426453481110705,-14.262446034736177,-14.304136200571502,-13.813134509131986,-13.646815299483206
CX3CL1,-23.0847877928141,-20.470891895905535,-20.66910261759947,-22.6045923641559,0.0,-21.9636718816493,-21.67889172840783,-22.218521332726944,-22.803238472989488,-18.71403734829592
SPATA20,-15.683908356531918,-16.3357323126239,-15.691822694099551,-17.050003512478263,-15.933645731847536,-15.980678306954992,-18.3331168915661,-15.970593819283359,-15.352027361157159,-15.885149264688673
CACNA1G,0.0,-22.27824681796314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.207077359576036
TNFRSF12A,-17.83686027937052,-19.108321816520828,-17.714906307212594,-17.650396053769025,-19.37843057452043,-18.876209040398965,-18.906302224510902,-18.663932481049308,-18.445686468371402,-19.055074266130987
DLX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.803238472989488,-19.961964861739506
MAP3K9,-18.384348074673014,-16.536779831561994,-17.347174522712105,-17.39513899852695,-18.190803571344663,-17.044808644374708,-16.95097127384463,-17.360540337599375,-17.89634787738097,-16.60441285712142
RALA,-15.736059638583026,-16.12849969845846,-16.177249521269797,-14.709774600847956,-15.883019658777567,-15.725267142324224,-15.336076267046643,-15.329778083828684,-15.939052328335206,-15.510753749907176
BAIAP2L1,-16.264608830398917,-16.08842225908312,-15.489193527584536,-16.112739267826225,-17.122090821260645,-17.834388864704337,-17.535933774565784,-18.41116641066934,-17.34380685435219,-16.535700107037407
KDM7A,-12.171150364765,-12.24069986400096,-12.280009095694997,-11.223049412971314,-11.163302087616593,-11.451425238820123,-11.128625921539088,-10.91545411888403,-11.95031888786549,-12.109435352335309
ETV1,0.0,0.0,-22.66910261759947,0.0,0.0,0.0,0.0,0.0,0.0,-18.31810867196478
AGK,-15.013325430257478,-14.496887104438478,-14.469430272763105,-14.96796774361225,-15.26758480583214,-15.127621526591232,-14.73052449682315,-14.841310802338393,-14.045015258262763,-13.88248007791269
ALDH3B1,-14.744937789929478,-15.006783790058764,-14.454783496798704,-16.195201428018198,-14.806888589561597,-15.637242394527,-15.79217901473694,-15.671626872839308,-15.120243889307805,-15.782055771724572
TTC22,-17.06241997978565,-16.212157627505366,-16.347174522712105,-17.319190145293653,-18.30042806251916,-17.455877241450608,-17.549608711462863,-17.546095990755447,-16.860723967650248,-16.60441285712142
PHTF2,-14.22370088681871,-14.868855881825437,-14.720735386014791,-14.182527597983086,-13.535731037097685,-13.671350248847265,-13.736377223068589,-13.447031863226345,-13.862190866648907,-14.307328833211537
CCL26,0.0,0.0,0.0,0.0,-23.548355575962745,0.0,0.0,0.0,0.0,-20.961964861739506
FARP2,-15.753870914699487,-14.674620472976947,-14.798737898016064,-15.229552932808973,-14.668772326349963,-14.79374688020699,-15.030234552369283,-14.85219911848113,-14.645891537626643,-14.772140302859489
USH1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1546099396819
GGCT,-17.762859697926743,-17.233852698604686,-17.20967099896217,-17.849704861992432,-16.875930233991248,-17.1563169595917,-16.812643117296656,-16.834817040252894,-16.726422875938656,-16.347255017624295
DBF4,-15.855969102318223,-16.34750948040025,-15.927635631198322,-15.582224551127446,-16.07262214499635,-15.958047332455426,-15.634497609049374,-15.644874145233622,-15.47232159487487,-14.879815820385634
TBXA2R,-18.762859697926743,-18.068793452334187,-18.499177616157155,-20.019629863434744,-18.847915857821654,-18.793746880206992,-18.978452010266736,-18.896593237839582,-19.995883550931882,-20.961964861739506
IFRD1,-12.562206261559274,-14.032694111707457,-13.287559666414884,-11.711290833295337,-12.843587336600146,-12.369347277724454,-12.33681706040869,-12.627466558690163,-13.836012214153492,-12.903973138980328
LGALS14,0.0,0.0,0.0,0.0,0.0,0.0,-24.26385422912898,0.0,-22.803238472989488,-19.64003676685214
COX10,-16.93504067330942,-16.34750948040025,-16.66910261759947,-16.560198244797444,-16.904499386188018,-16.6598911334722,-16.649144385013777,-16.611191018977333,-16.410921050210728,-16.031227524176618
GTF2IRD1,-22.084787792814105,0.0,0.0,-22.6045923641559,0.0,-22.378709380928147,-22.263854229128984,-20.759089714089647,-23.803238472989488,-18.874502020489164
PAF1,-15.90487870279917,-15.01615197259296,-15.338185739484853,-16.375773673660017,-15.599988344378067,-14.935765885079418,-15.106507293766143,-15.53552674904526,-15.564833733664408,-15.984684938239589
VPS41,-13.180905947077923,-13.375871703477115,-13.261834853354738,-12.770121314171677,-13.16789451087377,-12.967198392916075,-12.887186167271317,-12.915882408939392,-12.320934690666304,-12.621002097487805
ARHGAP44,-18.83686027937052,-17.754684861906128,-17.624708498241013,-17.475309347210935,-18.50396145660429,-17.986391958149387,-18.356963633520465,-18.63355883200579,-18.481310378102123,-16.407376010061867
