,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
MFSD7,MFSD7,-0.3936041646184485,0.07435461159670917,0.33427718058451983,False
ARHGAP42,ARHGAP42,0.5023825989387696,0.02577988707476674,0.21773658573760948,False
PPP1R3F,PPP1R3F,-0.05155245510252371,0.7597476533115992,0.8966406620401092,False
CD7,CD7,0.1779026595230171,0.6185632533206173,0.8197252105447382,False
FANCB,FANCB,0.37586720415741937,0.08907311484910423,0.3579718286843525,False
ZNF443,ZNF443,0.13860162365344308,0.5900474983274613,0.8039694065640892,False
ERI3,ERI3,0.009691504684774088,0.9362101842430735,0.9781245204874518,False
AK6,AK6,0.2850772491330389,0.1628891532643535,0.45958480376522215,False
LMF1,LMF1,0.017106146959470436,0.9304143288086236,0.9755033525368593,False
MRPS17,MRPS17,0.04852037859302527,0.8347149595090262,0.9315745660634133,False
SLC9B2,SLC9B2,0.3035085294919071,0.007647477866185731,0.1284310903177756,False
WDR34,WDR34,0.3807510688765774,0.04249222271052626,0.26893730488142564,False
TFAP4,TFAP4,0.163766666907879,0.3031894150039045,0.6009395630296873,False
RABL2A,RABL2A,0.016794158067032328,0.929278582373492,0.9748970370770897,False
ZNF446,ZNF446,-0.18808355198581594,0.3296129572851443,0.62038184050099,False
RFXAP,RFXAP,0.13529043382455086,0.5488265349831087,0.775797917412322,False
NAF1,NAF1,0.3606551174265,0.004452453287983526,0.10193309130025204,False
FKBP14,FKBP14,0.20287676516998232,0.19870291233957105,0.4997517289856787,False
DXO,DXO,-0.2156596193895126,0.051926792378358885,0.2898838366926184,False
AAED1,AAED1,-0.1412034950002088,0.422151219252469,0.6913739259585074,False
CLTCL1,CLTCL1,0.005773158991072336,0.9704092674260747,0.9892433932439502,False
FAM207A,FAM207A,0.2294809673527176,0.13989458634403698,0.43140996254919006,False
ZNF526,ZNF526,-0.03215993938903594,0.9001106007937163,0.9620144245841141,False
TAF1C,TAF1C,0.06377863417456808,0.8192300135150831,0.9248177011096037,False
AP1S1,AP1S1,0.208446945454849,0.2953580897822601,0.5937827138696771,False
TTC26,TTC26,-0.06660007596530448,0.8582407569705467,0.9430359087137712,False
HPRT1,HPRT1,0.1618467291363075,0.39793695285411,0.6745228676386362,False
ZNF467,ZNF467,-0.7845250736387683,0.04855584259635281,0.283025194634055,False
CTD-3138B18.4,CTD-3138B18.4,0.5201080861675216,0.04761690163037702,0.28191323685568703,False
ZBTB47,ZBTB47,-0.6243536364827413,0.002427349961124143,0.0808981072889765,False
PCDH12,PCDH12,0.01829056373775373,0.9051748225796877,0.9648516267095351,False
FAM219A,FAM219A,0.11202216074730842,0.593856745873232,0.8060515086790068,False
IDNK,IDNK,0.2992076442632552,0.0559470829525983,0.2978451250236499,False
SAP30,SAP30,0.13484688330254713,0.4648059827950316,0.721588732949284,False
FAM50B,FAM50B,0.3271945224917694,0.07389665334718558,0.33393522117657976,False
ZNF749,ZNF749,0.398855620455592,0.055800190686963465,0.2976419829051194,False
PDGFC,PDGFC,-0.1731113058042446,0.6314128039526873,0.8285531640352475,False
MYL4,MYL4,-0.341660125849387,0.4709416181610542,0.7242789112608823,False
PDGFD,PDGFD,-0.06725071365407231,0.8245825410815032,0.9272843444934357,False
LRP6,LRP6,0.6521858702046757,0.08306495795055484,0.34660534865581066,False
ZNF677,ZNF677,0.23209698820800995,0.2766073530628078,0.5787519353316136,False
FLYWCH2,FLYWCH2,0.058284817258201116,0.6826909398342235,0.8555315918981294,False
KIF20A,KIF20A,1.2800083708734569,0.00021912918370219675,0.02864951963620328,True
COQ10A,COQ10A,0.26626186841278,0.14158249966067538,0.43230941195945743,False
PSAT1,PSAT1,0.6862853227037178,0.0028077071172177446,0.08454724614885946,False
PPFIBP1,PPFIBP1,0.45573018128670384,0.05790887092346673,0.30094451406446604,False
PLXNA4,PLXNA4,0.17332462984187558,0.5886975249321733,0.8031275855289908,False
CRTC1,CRTC1,-0.047335778700091424,0.8558288611157935,0.9414207191202455,False
RAB39A,RAB39A,0.23747351499126879,0.3676453401254155,0.6518550211654363,False
RAB34,RAB34,-0.1714095475427193,0.31069086025495707,0.6066328152241833,False
KATNAL2,KATNAL2,0.2889359240114153,0.11130920943643594,0.3916725468197593,False
CNTNAP3B,CNTNAP3B,-0.7477648690461933,0.2150910237292677,0.5179922864238414,False
POLR2I,POLR2I,0.07461505396928558,0.7474294764797378,0.8896473513042679,False
ST7,ST7,0.005814089474625916,0.9750493150827653,0.9909954398653742,False
RHBDD3,RHBDD3,0.19484473951299108,0.2340006599418848,0.5379861798357136,False
SUV39H1,SUV39H1,0.49391565504896207,0.040084978398980994,0.2629421870557829,False
ASGR1,ASGR1,-0.313978237105772,0.03986711434010703,0.26256335384339347,False
F2RL2,F2RL2,-0.05332087763139981,0.8316184493522416,0.9298990184412906,False
PLCH2,PLCH2,-0.2613214864607585,0.2890971162316175,0.5894862107692115,False
SLC17A9,SLC17A9,0.026453783260372177,0.9161993589245133,0.9697074715750371,False
KDELR1,KDELR1,0.011147904141424192,0.9633213828730448,0.987494880291444,False
FANCE,FANCE,0.285871227766318,0.11290666572752646,0.3935978881989818,False
DTYMK,DTYMK,0.38550379907307075,0.029111361957389725,0.2318835788402381,False
MAD2L1,MAD2L1,0.7622603279252331,0.005927682360217179,0.11305509467765515,False
CYP27A1,CYP27A1,-0.9372142309483067,0.014889428276215592,0.17225443318889772,False
MRPL36,MRPL36,0.07486851981808229,0.5140340166219377,0.7543776350114119,False
ADAL,ADAL,0.40933202709690164,0.03627082671919335,0.2534037535291804,False
ZSWIM3,ZSWIM3,0.15219923277151892,0.460260122853548,0.7189979855742563,False
EXOSC5,EXOSC5,0.14678584282171414,0.4079081315152785,0.6816658741821655,False
SUFU,SUFU,0.2705883032016203,0.37122329455723035,0.6525838624720078,False
