,Gene,Mean Diff,Initial p-val,Adjusted p-values,Reject?
B2M,B2M,-0.3189933762837054,0.032630998652185925,0.2461729546736214,False
EEF1A1,EEF1A1,-0.03508254191540683,0.8423338714150406,0.9359959030772023,False
S100A9,S100A9,-0.43151401879191464,0.22125531043593616,0.5230061617255741,False
TXNIP,TXNIP,-0.12200770522671434,0.5160002265160705,0.7556720693416786,False
HLA-B,HLA-B,-0.2944848033080687,0.1454398768947135,0.4374034474795726,False
PTPRC,PTPRC,0.037993728823167316,0.7404211383030762,0.8866839007263586,False
HLA-E,HLA-E,-0.3409098887153821,0.004025072290767287,0.09776639709958598,False
AHNAK,AHNAK,0.2391485740198327,0.2850719533248024,0.5860619134477177,False
RNF213,RNF213,0.09446739713454733,0.7695093870189571,0.9019805081995692,False
LYZ,LYZ,-0.5531068504246033,0.006341512959944546,0.11633128581940232,False
LCP1,LCP1,0.005502695704990401,0.9514146901012807,0.9832522531746521,False
FCGR3B,FCGR3B,-0.8456186960448857,0.007181041495835509,0.12393202042072696,False
TMSB4X,TMSB4X,-0.07071244749218764,0.729016789776865,0.8793623606309512,False
MCL1,MCL1,-0.19930239743754186,0.04733808268013083,0.2809493787118851,False
UBC,UBC,0.14881967218140169,0.5405908339446699,0.7707091875789974,False
FTL,FTL,-0.1459470146791908,0.5917381188996966,0.8046012804994839,False
HLA-A,HLA-A,-0.11242039885446609,0.5419136051162763,0.7713788006456351,False
SORL1,SORL1,-0.5690754682540895,0.07704558174962071,0.3388261899827201,False
SMCHD1,SMCHD1,-0.11536054827684339,0.5309023686966974,0.7642179196571813,False
ACTB,ACTB,0.11618273248798872,0.6885802870282636,0.8591509690357094,False
SLC25A37,SLC25A37,-0.2516275114647559,0.3302324056386017,0.6209426499221274,False
NAMPT,NAMPT,-0.6884577654635677,0.008290832227411489,0.1340457666598286,False
HLA-C,HLA-C,-0.4393587209303096,0.014381813516158902,0.16804940893658726,False
SELL,SELL,-0.012264051611053262,0.946023280633689,0.9813763997715569,False
CTSS,CTSS,-0.28811400993928693,0.02925122065691248,0.2318835788402381,False
HBA2,HBA2,-0.21328132465570349,0.793554218658529,0.9133228492249584,False
SOD2,SOD2,-0.9422503857744271,0.0003548998448651646,0.03295543426699267,True
ALAS2,ALAS2,-0.16163606524273177,0.729524582217007,0.8794719725481283,False
HSPA8,HSPA8,0.26104791648926984,0.3129810694785594,0.6083269849626799,False
DDX17,DDX17,0.1184100710716951,0.1058554787014618,0.3848723277943308,False
LRRK2,LRRK2,-0.31214442567284273,0.10081017289293447,0.37684693568512073,False
VCAN,VCAN,0.24525549761070664,0.5138427963477128,0.7543022470728246,False
ACTG1,ACTG1,0.15972563722215227,0.3112887893849875,0.6070791774267361,False
NCOA4,NCOA4,-0.06745261696070237,0.7621739251285015,0.8981908127103959,False
MACF1,MACF1,0.31266932673533887,0.17528395590532364,0.4733027661643235,False
PARP14,PARP14,0.10559719783054966,0.7413411587434702,0.8867382732726903,False
ACSL1,ACSL1,-0.4041022214528631,0.13519336266260557,0.42447156026891686,False
FLNA,FLNA,-0.06821741727990371,0.797222068446525,0.9152353571345062,False
EEF2,EEF2,-0.07496891892268742,0.6328503380119567,0.8291052530858785,False
DDX5,DDX5,0.19043485583222264,0.2660458712211806,0.5686567247519267,False
CFLAR,CFLAR,-0.3094840728683579,0.03745615961095968,0.25571078906818473,False
MNDA,MNDA,-0.4583303605726794,0.05694915394340458,0.2996694429152787,False
ATM,ATM,0.3037162450851092,0.11869741207023055,0.4053016416703316,False
KIAA1551,KIAA1551,-0.27114175812251595,0.023944841731650564,0.20934363858483243,False
TRIM22,TRIM22,0.16181272169283822,0.6796434942189344,0.853345584532251,False
VIM,VIM,0.09790912440549526,0.6314628469255574,0.8285531640352475,False
CYBB,CYBB,0.05741704077953891,0.703547517533649,0.8667816894117185,False
GAPDH,GAPDH,0.3008630576321014,0.17152474780059368,0.46981019546497127,False
SRGN,SRGN,-0.5513117038445472,0.010576289060068517,0.14757579934481244,False
IQGAP1,IQGAP1,0.042709805214956376,0.8500527705321251,0.9389873884198756,False
UBB,UBB,-0.2765761847981576,0.3160914110339602,0.6110310264161087,False
EPB41,EPB41,0.07143371947912414,0.7718112601382543,0.9030551021162952,False
ADAR,ADAR,0.07239580090182152,0.7637855836004864,0.8992821060053753,False
LYST,LYST,-0.11218792663001231,0.4902428425549944,0.7387625387491549,False
RPL13A,RPL13A,-0.08723631638529561,0.5818537167192871,0.7985432642886331,False
TMSB10,TMSB10,0.04794658058479406,0.8419182988653322,0.9358314311434249,False
S100A8,S100A8,-0.36484834087728935,0.4698464656868495,0.7242789112608823,False
ITM2B,ITM2B,-0.4286442980673968,0.025656394996355653,0.21710689733609667,False
FGL2,FGL2,-0.25079941671516615,0.34133760328710494,0.6312399491173056,False
STAT1,STAT1,0.154067315980571,0.6799767971836272,0.8534684847904067,False
FAM65B,FAM65B,-0.10110826768436354,0.484921568561025,0.7340279888792318,False
AKAP13,AKAP13,0.10967888540063342,0.5302733348733917,0.7642024588417111,False
UTRN,UTRN,0.2556729805932587,0.1850315629415793,0.484506854479248,False
MBNL1,MBNL1,0.10321283442954332,0.31512524056754854,0.6099377603815106,False
SAMD9L,SAMD9L,0.3776874485335693,0.42097192331233035,0.6907103454810394,False
STK17B,STK17B,0.24130528545892815,0.13901254254712697,0.43015588585874476,False
ITGB2,ITGB2,-0.32503070777963927,0.12650679875068777,0.41573311596961066,False
IFIT2,IFIT2,-0.29256010201787674,0.6822165529741959,0.8551544965187239,False
FCN1,FCN1,-0.140413191617478,0.3337942561572995,0.6237761584788146,False
YWHAZ,YWHAZ,0.07860417821057197,0.16535808883884795,0.46238774524441567,False
SETX,SETX,0.0983379874044168,0.4300879193943945,0.6983997548950918,False
H3F3B,H3F3B,-0.35368346709568854,0.017641989791298125,0.18472071199351686,False
SF3B1,SF3B1,0.11052399813680047,0.4805830613128136,0.7300459268829709,False
OAZ1,OAZ1,-0.33068823757289145,0.06874415988991589,0.32327592930270316,False
FAM46C,FAM46C,0.12597017866813154,0.7475275717818246,0.8896473513042679,False
FCGR2A,FCGR2A,-0.6806949190352309,0.001580252930309893,0.06233681954038236,False
FCGR3A,FCGR3A,-0.3921464366127374,0.19427726041609528,0.4952750910950352,False
BNIP3L,BNIP3L,0.11173599277206847,0.7135068132213396,0.8733139454997828,False
ADIPOR1,ADIPOR1,-0.11207154535230046,0.6673509863344382,0.8462394705525663,False
RACK1,RACK1,0.02473745628490498,0.8915571317740977,0.959387296409496,False
TLN1,TLN1,-0.16047780309073012,0.5638173778508406,0.7845881962675554,False
RPL4,RPL4,0.040327290856293274,0.81237511360101,0.9217049615097703,False
IL7R,IL7R,0.4577848432182634,0.030665164879820333,0.23852451822383602,False
SAMD9,SAMD9,0.17975630769505635,0.6088364476015733,0.8138243114246253,False
DDX60L,DDX60L,-0.11065476458614754,0.7162804922043889,0.8742504600093816,False
SYNE1,SYNE1,0.27569852118162785,0.2598898512414586,0.5629417082944564,False
MKRN1,MKRN1,0.11460435731150831,0.6730925274726542,0.8493998665989851,False
IFI44L,IFI44L,1.1900314656783806,0.20764059274004787,0.5091780181400614,False
EEF1G,EEF1G,-0.08735707125454262,0.640991446093762,0.8334477377771803,False
DOCK8,DOCK8,0.0006618287278374879,0.9963243138533012,0.9991810212427306,False
HNRNPU,HNRNPU,0.3109510744172077,0.05506772650194896,0.2957142549564741,False
MYH9,MYH9,-0.017987288643116273,0.961506058367498,0.9864179771656392,False
ACTR2,ACTR2,0.1331872413741788,0.24948773035418448,0.553813148848415,False
CSF3R,CSF3R,-0.795930442091036,0.004732764845726523,0.10346021151293419,False
ACTR3,ACTR3,0.04562164286695136,0.6776421585983798,0.8517608014102539,False
BIRC6,BIRC6,0.28481112009201226,0.11205692855822484,0.39259210396041844,False
APOL6,APOL6,0.0995796320560487,0.7951498147669974,0.913856189085444,False
RPL19,RPL19,-0.16674986820083681,0.25464817795363615,0.5584276963876,False
VNN2,VNN2,-0.5890729954638552,0.08108416831937837,0.34334793308120953,False
PTEN,PTEN,-0.023759980427351834,0.8615235985664199,0.9451089513599,False
MTRNR2L12,MTRNR2L12,-0.36499945083035357,0.6109381614125333,0.8158022560068353,False
RPS11,RPS11,-0.23556897195096127,0.06999038177085579,0.32475808032908976,False
IFITM2,IFITM2,-0.2829575405321041,0.4984535321452386,0.7436759438077618,False
TPT1,TPT1,-0.22697629776163986,0.25612039448021706,0.5598678387871345,False
OGT,OGT,0.24966640700328213,0.04207821777666707,0.2678581012955032,False
JAK1,JAK1,0.16257328156352635,0.21210133325691305,0.514202540214008,False
NCF2,NCF2,-0.5936434272674553,0.0004831546544955207,0.03462999482872871,True
VPS13C,VPS13C,0.26317871107450586,0.12765764507264343,0.4158822888362268,False
HNRNPK,HNRNPK,0.10633572093308352,0.33522665649527417,0.6256742579438967,False
IFIT3,IFIT3,0.24938664926861343,0.7731522528466501,0.9037191254450151,False
RPS2,RPS2,0.22498848900650792,0.41672279889214314,0.6880680297049973,False
IGF2R,IGF2R,-0.5087663117849157,0.07724665002702626,0.3394259207427079,False
STK4,STK4,-0.014615058725727437,0.8242892301213349,0.9271376237177797,False
DDX3X,DDX3X,0.09154160862829741,0.4047336876357638,0.679499293497931,False
PSAP,PSAP,-0.24982848917603562,0.280029356922996,0.5810343640603447,False
TMEM123,TMEM123,0.14689994721077326,0.6589772423764602,0.8415051970617252,False
RPL3,RPL3,-0.17185836736423,0.4302372394809134,0.6983997548950918,False
FBXL5,FBXL5,-0.3251550394201921,0.07997799721773997,0.3415285257749544,False
GLUL,GLUL,-0.41592029745312686,0.0026748933538971375,0.08378404764908257,False
RPL13,RPL13,-0.10431563783340181,0.5822038417381735,0.7987794078659329,False
GIMAP4,GIMAP4,0.20778747848710033,0.3279244196190424,0.6192504245906125,False
SYNE2,SYNE2,0.1647507269270161,0.46245167219937877,0.7203072556004521,False
GBP5,GBP5,-0.22066240762141653,0.6688878438508475,0.8470200041067699,False
H3F3A,H3F3A,-0.5152234380831882,0.009341369155499983,0.1414415390312573,False
CSDE1,CSDE1,0.03434889950726827,0.7405792152831228,0.8866839007263586,False
KIAA1109,KIAA1109,0.13193465709758279,0.5114418103917124,0.752648782702051,False
JAML,JAML,-0.5668449551789028,0.0010426844576776981,0.04976351805369972,True
MAP3K1,MAP3K1,0.14667123501127932,0.17947380308943361,0.4794798309585079,False
HNRNPC,HNRNPC,0.10237779458421237,0.557459277851518,0.781172569777775,False
MYCBP2,MYCBP2,0.33432275760513797,0.19603983659917423,0.4975921638691667,False
TTN,TTN,0.3915052982697471,0.2532860678086294,0.5571762493744127,False
MXD1,MXD1,-0.5024247872101846,0.013440991076917026,0.1655355861151295,False
RASSF2,RASSF2,-0.3476299996839831,0.046851896596952713,0.28008867264698123,False
SON,SON,0.17947822176797779,0.1362706697071511,0.42645038390609497,False
CORO1A,CORO1A,-0.1601417438414945,0.1763777267184441,0.4749318204126123,False
ETS1,ETS1,0.5062644843126112,0.0032566089755328214,0.08865270262336819,False
TRIP12,TRIP12,0.23343975753505752,0.10893890373091203,0.38907281036366914,False
CDC42SE1,CDC42SE1,-0.092008281191994,0.21781132558526706,0.5202581924348298,False
PICALM,PICALM,-0.3191470122100739,0.0071270573661863035,0.12340629198579685,False
IRF1,IRF1,-0.4346565014808643,0.052941068565713005,0.29138111491564017,False
RPLP0,RPLP0,0.09472620033392865,0.6176944410728711,0.8194515026088386,False
PIK3AP1,PIK3AP1,-0.16495532871842933,0.39485886648249213,0.6716786214997187,False
USP15,USP15,-0.1640961435831496,0.3663623193241867,0.6512094084385004,False
NIN,NIN,0.05890387869351166,0.7191161870483078,0.875471185833379,False
RPS4X,RPS4X,0.18173980424242764,0.3718704286054949,0.6527327546599964,False
MX1,MX1,0.512779642895465,0.42654212715874384,0.6952013886729884,False
GBP2,GBP2,-0.12703127963589367,0.5404541674704795,0.7707091875789974,False
SLA,SLA,-0.13439063675545349,0.37047271994929054,0.6524267918048604,False
ENO1,ENO1,0.3297956327460838,0.07113535384572138,0.3273786262733134,False
HERC1,HERC1,0.23508874434890892,0.2886914115043847,0.589409600281337,False
LNPEP,LNPEP,0.3383604051561484,0.06585281134508852,0.31755218264890345,False
UBE2D3,UBE2D3,-0.05987028480955203,0.4645893070669477,0.7215712846437954,False
FBXO7,FBXO7,0.24272022230384316,0.29718400679830337,0.5949368180959431,False
ARHGAP30,ARHGAP30,-0.018864050918326214,0.7920549838595564,0.9123979520955456,False
DDX6,DDX6,0.17619900658235288,0.14322393437864092,0.4344113988635879,False
DCAF12,DCAF12,-0.20382517511424858,0.5118237945790987,0.7527913114218965,False
DOCK2,DOCK2,0.0689354971433378,0.6160544435305255,0.8183860310512447,False
RPL10,RPL10,-0.05899762530844477,0.7989372284000353,0.9160017851400318,False
HNRNPA2B1,HNRNPA2B1,0.44688535135282237,0.038759579445516855,0.2592124073434088,False
FAM129A,FAM129A,-0.7565745995421569,0.013885990931678579,0.16595182556503796,False
PLXNC1,PLXNC1,-0.3942700180488323,0.07344008815875264,0.33329725708127456,False
IFI16,IFI16,0.13150294624317915,0.567904961055322,0.7875223358644187,False
FYB,FYB,0.021653097266620236,0.8966169016993826,0.961197501995466,False
RPL23A,RPL23A,-0.02953749515381965,0.902320027402182,0.9633744452107341,False
TLR4,TLR4,-0.40830060838368354,0.02869721355865028,0.23154046099710568,False
FPR1,FPR1,-0.848771862789409,0.00012197410441574125,0.021401699262718957,True
SLC2A3,SLC2A3,-0.20990142634747677,0.34106362285966785,0.6312399491173056,False
SAMHD1,SAMHD1,0.14892273751778617,0.3197897986511481,0.6132226530055733,False
RNF149,RNF149,-0.5341397166066137,0.0004830308976824088,0.03462999482872871,True
SDCBP,SDCBP,-0.41413539506493,0.004630672968181049,0.10270057480222461,False
SP100,SP100,0.09353318557739243,0.6113911824577449,0.8159666153522537,False
UBA52,UBA52,-0.18246645405702644,0.40575038362597515,0.6797978201102601,False
TMBIM6,TMBIM6,-0.042353058495496754,0.786794569662508,0.909633695402016,False
BACH1,BACH1,-0.34768986106582567,0.0023781412062230532,0.0802374137520852,False
AQP9,AQP9,-0.7117188580995606,0.005004562320584333,0.10604968351060823,False
RPL7A,RPL7A,-0.08125277618933602,0.6564834418638796,0.8400586287167913,False
RSAD2,RSAD2,0.5657244657365545,0.5856244547388393,0.8010634081051545,False
RBM39,RBM39,0.024036300642592323,0.8740071346195752,0.9504567171274954,False
OAS2,OAS2,0.5829645111854962,0.37093997914266097,0.6525474632070662,False
RPS12,RPS12,-0.3250969576133347,0.03828518682348923,0.25801314408405424,False
SMG1,SMG1,0.28093295293392373,0.19056110627660638,0.4898779342382454,False
ARHGDIB,ARHGDIB,0.06053642604731202,0.780492195932214,0.9069440323274331,False
RPL41,RPL41,-0.11912286322977828,0.5841376416530992,0.7995977815768037,False
ZEB2,ZEB2,-0.08432105799512257,0.5940379290172235,0.8060515086790068,False
SNCA,SNCA,-0.013211618428613292,0.9700885244348276,0.9891301998731558,False
HNRNPH1,HNRNPH1,0.3389426762166412,0.2517089976617449,0.5554537355341093,False
ARPC2,ARPC2,0.034871540716981286,0.704002915697171,0.8668033367810857,False
IFI30,IFI30,0.00021811911529034944,0.9993928623624199,0.9999954440995302,False
MGEA5,MGEA5,0.12362993177985615,0.351534250903314,0.6386770613679532,False
LITAF,LITAF,-0.5693254998961219,0.00028755493687241627,0.031242345337151187,True
ERBIN,ERBIN,0.11090255173107266,0.3595196766101233,0.6451924006618819,False
HNRNPA1,HNRNPA1,0.3362833958184037,0.0777896657878593,0.3396945123801413,False
PGK1,PGK1,0.0532983850790032,0.7376677999898776,0.8848134688264502,False
EIF4B,EIF4B,-0.057208845232306516,0.7187961320437966,0.8751830834921742,False
CHD2,CHD2,0.06018734412885429,0.7167791095925835,0.8743032398880489,False
HCLS1,HCLS1,-0.047604696936003776,0.668239989429607,0.8465341312428911,False
MYL12A,MYL12A,-0.13574257690925506,0.36051284868761213,0.6459804168850947,False
TNFSF10,TNFSF10,-0.3076561807495768,0.3636023819310835,0.6491526495354595,False
OSBPL8,OSBPL8,-0.25518522549745626,0.29447536019248755,0.5929964556906863,False
IFITM1,IFITM1,0.14775986587032008,0.7955840596991678,0.9138956165084852,False
ZC3HAV1,ZC3HAV1,0.1425958502587168,0.48318502803508734,0.7323502093271951,False
TPM3,TPM3,0.10143781816882225,0.38722460658087965,0.6646732859239604,False
C16orf72,C16orf72,-0.16403757014744969,0.3116917594090257,0.607316654703456,False
RPS6,RPS6,-0.2231926417787662,0.2338499685101656,0.5379861798357136,False
NABP1,NABP1,-0.4358326171188498,0.04209597341557482,0.2678581012955032,False
XAF1,XAF1,0.5327816831967933,0.37673718560163216,0.6564435882626911,False
IL6ST,IL6ST,0.37379300397320314,0.036898569238473455,0.25427215117049257,False
JMJD1C,JMJD1C,-0.21211957300361028,0.17434273380820264,0.4720814132213223,False
DOCK11,DOCK11,0.20220836207749748,0.15448675860879296,0.4490386587484943,False
TAP1,TAP1,-0.1582821269942407,0.606230079189316,0.8117612731791357,False
NACA,NACA,-0.027745501363508396,0.8720838106802693,0.9495460646952439,False
RPL32,RPL32,-0.16974891930579616,0.3503576651527107,0.6378041256848357,False
BOD1L1,BOD1L1,-0.07535667940878277,0.6645074973639539,0.8439911298087117,False
DCP2,DCP2,-0.023005685756238847,0.8766832911614212,0.9514933568635491,False
RPS27,RPS27,-0.21442899042209795,0.4164451835776334,0.687730631496073,False
MYL6,MYL6,-0.17172701379685051,0.16539711452912476,0.46238774524441567,False
TRANK1,TRANK1,-0.15448929955384827,0.4919834957464736,0.7400204731748492,False
STAG2,STAG2,0.03545815444579148,0.8125301292876866,0.9217049615097703,False
EIF4G2,EIF4G2,0.17631149727745665,0.1814105186153263,0.4803281786097954,False
ITGA4,ITGA4,0.28381468211136074,0.052648709967604734,0.29117507393096503,False
ANXA6,ANXA6,0.3060125088705572,0.077394772467033,0.3395080884183015,False
ACAP2,ACAP2,-0.03093165947569254,0.8001418756271086,0.9167819066341177,False
HLA-DRA,HLA-DRA,-0.28572917394548014,0.17373596637926736,0.47146097700361933,False
PRKAR1A,PRKAR1A,-0.17779463519461913,0.15936333716408735,0.4547587759888016,False
CYLD,CYLD,0.15086662466742062,0.21764327898166325,0.520229427483131,False
CAP1,CAP1,-0.03260763435556413,0.744589211945306,0.8882248779638737,False
ZNF207,ZNF207,0.08236149716623409,0.5032170540723174,0.7471847834521066,False
XRCC5,XRCC5,0.2397270907731972,0.09773821832266086,0.3719866249037651,False
PARP9,PARP9,0.04886738716802341,0.8859170257398921,0.9565476596486843,False
MAPK14,MAPK14,-0.20457591081338755,0.2856560126435662,0.5862888290947973,False
RPS18,RPS18,-0.2655818388788429,0.21863579370679187,0.5211212425445453,False
MOB1A,MOB1A,0.04270552459647625,0.7020186357786682,0.8656034380264156,False
NOTCH2,NOTCH2,-0.18727667454670183,0.37761806270335896,0.6569456347269276,False
SARAF,SARAF,0.1232441010579155,0.3991348520083562,0.6751768502536969,False
PTMA,PTMA,0.1360990635321393,0.30826642406441784,0.6041538266170968,False
YBX1,YBX1,-0.18245771088723828,0.22293406333493948,0.52435932583632,False
SLC38A1,SLC38A1,0.35474146112519556,0.020879426310359942,0.2006298720463433,False
KDM5A,KDM5A,0.14268416297997355,0.13074767052397496,0.4191605233059791,False
RBL2,RBL2,0.2791851858458543,0.04954452401289892,0.28491059069553026,False
NCKAP1L,NCKAP1L,0.1929595643096853,0.1363527766162228,0.4264719765966348,False
CD53,CD53,-0.0717133878888081,0.4586183863994404,0.7174210690398374,False
PCNX1,PCNX1,-0.06804514779513049,0.6595179953614373,0.8416835715552861,False
PRKCB,PRKCB,-0.05542502404488481,0.5869512559833421,0.8023497726720971,False
IFIT1,IFIT1,0.35153752776937175,0.7050676579149393,0.8672224750324062,False
PTPRJ,PTPRJ,-0.3551181411664306,0.16536322146825344,0.46238774524441567,False
RPS23,RPS23,-0.11716845488025207,0.6180657930900555,0.8195835166048214,False
RPL15,RPL15,-0.08919792614227795,0.5594554698485842,0.7826170718592907,False
RPSA,RPSA,-0.02515782750173834,0.9040067738915679,0.9643875404369495,False
EIF4A2,EIF4A2,0.15589798001503397,0.28536404827728534,0.5860668938117143,False
USP34,USP34,0.29068690877961423,0.24273090505291728,0.5467316746958587,False
CD164,CD164,0.06181550930302926,0.7539372831344756,0.894006544460397,False
XRN1,XRN1,0.12162028508108413,0.5665522943906118,0.7866657701522681,False
CLIC1,CLIC1,-0.1691507591015089,0.25734488153499,0.5605942273398191,False
DMXL2,DMXL2,-0.13339465771126946,0.5514611217648729,0.7775438794247261,False
PREX1,PREX1,-0.351722035840881,0.08600075045632763,0.351815155765398,False
DDX60,DDX60,0.5511419294499227,0.2802214376722807,0.5812143794218703,False
NAIP,NAIP,-0.2685631989512167,0.2963655797225262,0.5947148647979474,False
LRRFIP1,LRRFIP1,0.08401952516864952,0.5951198441725141,0.8064823098155999,False
FKBP8,FKBP8,-0.3719149774895758,0.2441919152042903,0.5477037051244019,False
TMEM154,TMEM154,-0.5766096970743906,3.060722729250326e-06,0.004462871699402956,True
ARPC5,ARPC5,-0.13210988377729294,0.3614700679548599,0.6467016919096922,False
MBNL3,MBNL3,0.14981022368900376,0.7032373130972598,0.8667816894117185,False
ZNF106,ZNF106,0.048334120158859406,0.7571009348136692,0.8950270514871373,False
SAT1,SAT1,-0.32269425531069373,0.1762534255001449,0.47482084564134025,False
ZNFX1,ZNFX1,-0.05995400009167007,0.7791928529597034,0.9062905140396724,False
FGR,FGR,-0.2541614612983256,0.06170578387728596,0.30946455092969577,False
ZC3H11A,ZC3H11A,0.09537855529397099,0.3269390633016276,0.6184553075940108,False
RPL37A,RPL37A,-0.07240744373558172,0.7193498981495305,0.875497204960352,False
GNS,GNS,-0.007970692618009423,0.9575723011886832,0.9850987297107331,False
MAPK1,MAPK1,-0.041783016547141116,0.7105741754119966,0.8713398179967373,False
HSP90AA1,HSP90AA1,0.523393843067101,0.03501332684975259,0.25082959484830947,False
VMP1,VMP1,-0.5203991082098085,0.00675808858638586,0.12034640549309954,False
SSH2,SSH2,-0.10684166028922171,0.6964457451097332,0.8627869189417274,False
HCK,HCK,-0.4184913193579547,0.004396963054103174,0.10193309130025204,False
SLFN5,SLFN5,0.5406737198134532,0.025304269317908676,0.21516831276565296,False
PAG1,PAG1,0.33088669342069466,0.001811706372290661,0.06813704288331866,False
RHOA,RHOA,-0.016782605582609023,0.9070177722543228,0.9658349385289842,False
CR1,CR1,-0.1950024327326716,0.6581000977344438,0.8409439717963936,False
RPL37,RPL37,-0.2610435509626914,0.11162039463788252,0.3922413934813467,False
EIF4A1,EIF4A1,0.18266958847156722,0.26219652556478035,0.5656307859274753,False
GBP1,GBP1,0.1936976165164772,0.747304005232609,0.8896473513042679,False
TPR,TPR,0.2825407461621552,0.22527774972983294,0.5279859918846378,False
CNOT1,CNOT1,0.3480603718815445,0.022823159647513084,0.2070697951030409,False
AP000769.1,AP000769.1,-2.9820609936563636,0.11281869866248374,0.3934219358808381,False
ADD3,ADD3,0.2978182585149778,0.0333314667627302,0.24822362011449822,False
PRRC2C,PRRC2C,0.3910477248626396,0.1422480829251359,0.43314252296385697,False
RPL6,RPL6,0.13230155107912012,0.5978984663488651,0.8077711636868854,False
PABPC1,PABPC1,0.292750438199862,0.13115906257796497,0.41944640401452493,False
MYO1F,MYO1F,-0.43875981800853125,0.016543196708530102,0.17969747729048277,False
CANX,CANX,0.18810598535801226,0.15345198510204291,0.44751853242794226,False
ITGB1,ITGB1,-0.1152925521933863,0.49144588741513273,0.7395102882378513,False
GNAS,GNAS,0.1910579773532195,0.4314987581995504,0.6988295214983612,False
DDX58,DDX58,-0.09992798832554506,0.7978284004676727,0.9154306622315243,False
TET2,TET2,-0.2890994773548048,0.1061351094620802,0.38522162005728383,False
PIP4K2A,PIP4K2A,0.17048444649806882,0.49033094759895934,0.7387625387491549,False
RGS2,RGS2,-0.7061327123354761,0.01192376257960905,0.15561696610427583,False
RPS19,RPS19,-0.05392748668901248,0.796741872971445,0.9148842715133917,False
ATP11B,ATP11B,0.28374232463765203,0.05124928602669288,0.2882795323097275,False
HIPK3,HIPK3,-0.2513749708025159,0.1108956860036784,0.3912621167180401,False
CD46,CD46,-0.399987588800375,0.0032612163549623676,0.08865270262336819,False
SCAF11,SCAF11,0.10885041102640436,0.3982635735696174,0.6745809990571877,False
RAP1B,RAP1B,-0.020715630697109688,0.8993330419882066,0.9617532906551449,False
KMT2C,KMT2C,0.09319541244653706,0.7023959751614518,0.8659665100891921,False
ARHGAP45,ARHGAP45,-0.17829181650067305,0.10553918285735107,0.38397266104136685,False
CMTM6,CMTM6,-0.33107487682127434,0.05299713369600928,0.29138111491564017,False
LYN,LYN,-0.45563182769673105,0.0063206831315505115,0.11615223835264364,False
MATR3,MATR3,0.297357925999151,0.040871609655442,0.265551579018299,False
RIOK3,RIOK3,0.02691101762148662,0.9282363723009112,0.9744332833116829,False
RPS8,RPS8,-0.21166475136675622,0.26915460016125003,0.572055746301802,False
RPL30,RPL30,-0.13698504628711916,0.3975469655737067,0.6743388796904146,False
ATP6V1B2,ATP6V1B2,-0.3892412522950348,0.00014587675333274544,0.022183837285804316,True
XPO6,XPO6,-0.395009166659813,0.04978811965549519,0.2850357194401068,False
CAPZA1,CAPZA1,0.006701090857346159,0.9512719235314578,0.9832246152103613,False
CALM1,CALM1,0.1707766456659101,0.14983812556766485,0.4422648246361483,False
SPTBN1,SPTBN1,0.4363165642833291,0.06308296167661123,0.31208369489518234,False
VPS13B,VPS13B,0.04086003636273894,0.7813628010833708,0.9073376096325457,False
CALM2,CALM2,-0.01339159597809747,0.9295813482691697,0.9750197008584963,False
TGFBR2,TGFBR2,-0.17891435382555443,0.09462474015749257,0.3669423493674083,False
ELF1,ELF1,0.046475853233092224,0.7670945444468302,0.9011557383431023,False
ARPC1B,ARPC1B,-0.24905009625346963,0.021761610283064763,0.204243807424149,False
YWHAB,YWHAB,0.11310114650074965,0.05269622275754337,0.29117507393096503,False
PARP8,PARP8,-0.15958839791576374,0.152691787102221,0.44627902321238944,False
TKT,TKT,-0.37355200941516387,0.017408355736561267,0.1833994746423066,False
TYMP,TYMP,-0.2684907909843943,0.3500933344608882,0.6375441441336515,False
TLR2,TLR2,-0.285001363753592,0.0768792339288021,0.3384782377294181,False
MTPN,MTPN,-0.06944643630268033,0.590857194578645,0.8041899554288927,False
RICTOR,RICTOR,-0.23315352883676788,0.1264706525641295,0.41573311596961066,False
KIAA1033,KIAA1033,0.048903934593141685,0.7770998756075131,0.9054884187047453,False
BAZ1A,BAZ1A,0.0033272163964728207,0.983195442022933,0.9936116510783624,False
CYTH4,CYTH4,-0.5839456204727114,1.2698981455740728e-06,0.0022929933275832,True
H2AFY,H2AFY,0.09725978301899474,0.2835489519903759,0.5851089780206518,False
IKZF1,IKZF1,0.24950362321253827,0.06383221831430429,0.3140886685500887,False
PPIA,PPIA,0.26332768940719653,0.08942203304992456,0.35854237401332,False
ADAM10,ADAM10,0.09436016796887436,0.4696949234863448,0.7242789112608823,False
MX2,MX2,-0.35088438772216435,0.30042293573924705,0.5978023323197339,False
GYPC,GYPC,-0.5280563108618317,0.036558050611395165,0.2534037535291804,False
CDC42,CDC42,-0.11179569832567182,0.44113875921752077,0.706258519232907,False
PAPOLA,PAPOLA,0.1025028878226415,0.3056181684701601,0.6022256228652375,False
RPS3,RPS3,-0.24088289939095908,0.35371421710915407,0.6401018476059407,False
CXCR1,CXCR1,-0.8032757634657397,0.0026232064665282486,0.08373127042838599,False
CASP4,CASP4,-0.4023539596482255,0.013185506210864131,0.1638468568920944,False
NUFIP2,NUFIP2,0.14282421852017002,0.05802828326359816,0.30094451406446604,False
