,GSM4715947,GSM4715954,GSM4715956,GSM4715972,GSM4715975,GSM4715996,GSM4716002,GSM4716003
ADIPOR1,-10.002720168941789,-9.914897128867,-11.476776967681348,-10.60983348760554,-10.389091681295554,-9.459811741836125,-9.96649529871207,-8.697471012115033
RACK1,-10.264224675331166,-11.598507217521068,-9.822251469679756,-10.530549787092374,-10.471299778787056,-10.54734195713979,-9.475741215129938,-10.123490715365026
TLN1,-11.1826911891596,-11.36235610583822,-11.113894346042192,-9.679630337925287,-10.130486357351018,-8.31725626304014,-10.36187755363661,-10.264178156837504
RPL4,-10.551712124889498,-11.842666454151432,-9.611973181441032,-10.05967072459881,-10.316881695454548,-11.121301730717281,-9.763517447205752,-10.180605059590883
IL7R,-10.460103183494308,-11.545342399382164,-9.725627852884045,-10.469273040986941,-9.833216759454912,-11.486937150695477,-10.133474599729912,-10.030003321322445
SAMD9,-8.685117342781727,-8.526744548220975,-9.974800747001845,-10.915375858288883,-10.49900037455534,-11.432129083701806,-11.311691796468393,-10.47453927327776
DDX60L,-9.276895132380783,-8.42434666961258,-10.564488914525139,-10.36840915082494,-10.171555783029108,-10.061073867469855,-10.810862384838792,-10.340365387012758
SYNE1,-11.099661434924299,-10.294984969509738,-10.492333052511347,-9.221423047475934,-9.527667751890684,-9.679447734608077,-9.944429659686927,-10.544393631481208
MKRN1,-10.413572512237739,-10.219654168389306,-11.66000855977366,-9.884670612543507,-10.382166362451606,-10.26445506527939,-10.58578006729907,-9.431752386739765
IFI44L,-8.228065417557872,-8.249141939926854,-9.607988011050692,-11.382486131312138,-9.710460670514646,-12.245084360744888,-14.403750126504692,-9.316191542096615
EEF1G,-10.522613769883996,-11.6244862841019,-9.758308927105084,-10.190904697927417,-10.487889270983288,-10.94368406496865,-9.817972774001982,-10.33267582007194
DOCK8,-10.057031288819614,-10.59363249457578,-10.46138683099693,-10.047451907846295,-10.110890659821804,-10.587324911054507,-10.692628588138492,-10.44132716109764
HNRNPU,-11.129792524840333,-11.509009066681966,-10.168510413634209,-10.039411738364185,-9.868914128033426,-11.372643331381678,-10.563585644696987,-10.723556000756087
MYH9,-11.91934715889262,-12.382088170962405,-11.27740766212424,-9.461146263354262,-9.890371266449934,-9.109294868168584,-10.791737562966325,-10.657087233849547
ACTR2,-10.81678754264737,-10.232685493393438,-10.073627130941183,-10.159195838200079,-10.527582845023055,-10.243625418267094,-9.418110768466935,-10.744408862841086
CSF3R,-9.285930916763414,-9.54705479725785,-10.576245662191843,-9.971847025353146,-10.351181932424481,-8.919074939104226,-9.527253990692614,-9.840081065803043
ACTR3,-10.694082822430996,-10.037717026675114,-10.018155432723315,-10.34389763363489,-10.397911746020366,-10.416204140757259,-9.856045171107885,-10.684171524769926
BIRC6,-11.2960281960262,-11.510678852795323,-10.263387981651768,-9.983369373284788,-9.636079442824077,-11.231875194664003,-10.748204243814115,-10.50268540977266
APOL6,-8.973095555404235,-8.31654652749364,-10.37824188458881,-11.145166789259545,-10.526903769914783,-10.379909867550118,-11.811876011692046,-11.375252490444428
RPL19,-10.555315861253469,-11.543632031617062,-10.075223523231445,-10.428134740527954,-10.322763053134556,-11.080713875024987,-9.998680796317084,-10.495092260450429
VNN2,-9.70849991183808,-8.75359629083986,-9.269568292201896,-9.841963979062342,-10.41210562760312,-8.453205139581803,-9.013238657898544,-9.457468687795316
PTEN,-10.385858670598635,-9.270024225066145,-9.988272318553438,-9.893537042950761,-10.08654558877009,-9.328881926765135,-9.849369395866205,-10.230796206052725
MTRNR2L12,-9.117235318279622,-13.628106599780597,-13.104083763946813,-11.157612720471935,-10.873223256209805,-13.467299861970636,-7.916686786464651,-5.6725093023912585
RPS11,-10.4898700744627,-11.490767851890688,-10.18987276118402,-10.442520571095917,-10.265142892226853,-11.187592645868506,-10.216540664740728,-10.1002646429105
IFITM2,-8.416755764998463,-8.845297669618867,-10.392986970266428,-10.682985510308528,-10.684197003015042,-9.351632139461174,-9.219160510714538,-10.155052160896497
TPT1,-10.630403544647567,-11.305453714603745,-10.531729770726045,-10.054505587490919,-9.908167623735345,-10.853323113887285,-10.701430675145376,-9.43962572626372
OGT,-11.036179474068842,-11.422380876910438,-10.353064079223058,-10.338327375591943,-9.897595154746899,-11.25280146043028,-10.712935330855391,-10.29022420876613
JAK1,-11.249554731544551,-10.933254398464626,-10.24570324097374,-10.257849274710937,-10.256392416120901,-10.427152448196777,-10.246925737588006,-10.834161488159186
NCF2,-10.033524249240596,-9.038620122191858,-10.250104144400217,-10.017062988779088,-10.612924636991217,-9.252934876534402,-9.547625339066343,-10.618902986087642
VPS13C,-11.265207995856036,-11.36235610583822,-10.432681247286425,-10.41710723396804,-9.845652954134637,-11.9726150669393,-11.015397115126257,-10.416013957739546
HNRNPK,-10.768118251160214,-10.36235610583822,-10.095958934658627,-10.487951204592543,-10.603407789092888,-10.705046869927601,-9.92335354561002,-10.90517362760762
IFIT3,-7.18331063744773,-7.185079776179462,-10.204745042047374,-11.43061802952659,-10.625045915610656,-11.052107575390439,-14.02148148279207,-10.033298819041695
RPS2,-10.53817867445785,-12.129021934219846,-10.297763848060931,-10.650781661541513,-10.735249019807426,-10.929326639718292,-9.77602459200401,-10.378741476524308
IGF2R,-10.75724041556872,-10.874562264124064,-10.900750503932933,-9.216140560733304,-10.047794970538362,-9.256006857136901,-10.574210124657302,-11.246434184420178
STK4,-10.818470546802274,-10.802228947726983,-10.26035816946178,-10.307455025309565,-10.257659358229741,-10.548324050466272,-10.438709388149684,-10.874967704547073
DDX3X,-10.020459291567505,-10.62313100448989,-10.113894346042192,-10.455105389225606,-10.117520821038172,-11.141167458683102,-10.456511911574129,-10.817967316343822
PSAP,-10.197944768951357,-11.744112539767967,-10.992958571066582,-9.732562761530136,-10.714224350805306,-9.7192625363485,-10.785551296309604,-10.648358106747116
TMEM123,-9.03834920382978,-9.024387073692829,-10.12395565953345,-11.073560397238102,-10.776423369274095,-12.133777848669066,-11.32378631674547,-10.165058408811124
RPL3,-10.936475957455565,-12.574733248904801,-10.388349140652988,-10.37418892947367,-10.43151543527854,-11.37467427496217,-10.152608766686626,-10.628839321801568
FBXL5,-10.31287442948635,-9.398418204622054,-9.873798017434504,-10.239395604078904,-10.281658677524518,-9.850191101993818,-9.700116317628005,-10.348552203034878
GLUL,-9.845791683469805,-9.76588201379252,-10.870252363468344,-10.784026640289158,-10.86097601349913,-9.480986592866797,-10.085862339460125,-10.146898510869262
RPL13,-10.397850622001393,-12.109913111272142,-10.562994925740382,-10.765822810602957,-10.98302946703764,-10.937237695704852,-10.357430735030555,-10.703000258575901
GIMAP4,-9.654357633976582,-9.542991166111198,-10.166051220023407,-10.640905090631886,-10.926634016405778,-11.213063982311716,-10.660136577923291,-11.17918478449042
SYNE2,-11.194194259800428,-11.254203114437761,-10.709285351664297,-9.994065956416291,-10.045848013372579,-12.462354886980624,-10.96108772077685,-11.032016341938228
GBP5,-9.830064341318053,-8.18183374217992,-10.60388580095531,-11.6644311464505,-10.57312362893324,-11.372643331381678,-12.171609728616684,-13.006963250357064
H3F3A,-9.4797525553698,-9.848989452034157,-10.3912184195811,-10.513035205307695,-10.954898674080336,-9.830046861466045,-9.518374307255955,-10.407436389702198
CSDE1,-11.057599055470344,-11.104229472768559,-10.187760609951658,-10.401565368404974,-10.452962594784005,-10.841036212745387,-10.27028133764602,-10.7969651925458
KIAA1109,-9.926589099725819,-9.544700773825273,-10.502081832363341,-10.085100220687567,-10.061989540070254,-11.189123627661512,-11.153764926791956,-10.851185583543685
JAML,-10.54552671381477,-10.288167096908916,-10.13501226013808,-9.963524561887915,-10.156641004054368,-10.830644127067988,-9.760285229122085,-10.656804823152573
MAP3K1,-10.779312837228707,-10.66017799124521,-10.251306724387232,-10.369325031404767,-10.285243014873556,-10.737161402700071,-10.315280770509164,-10.469570454724321
HNRNPC,-10.455232373639296,-10.650481492634846,-9.945793462987902,-10.441268106124832,-10.839737663793915,-10.973054577998566,-10.167711604005474,-10.99763467493931
MYCBP2,-11.113172114259921,-11.138026747481057,-10.821507006563548,-10.191957553141942,-9.780768078707387,-11.783049381928876,-11.314562261086031,-10.750723952832505
TTN,-12.34335624198955,-11.356338599550496,-10.631282839663024,-10.179052496637157,-9.44444160972281,-11.557357862331333,-11.171089369714418,-9.964402788129016
MXD1,-9.247609961480268,-9.302558189214539,-10.346195112027614,-9.789839402521459,-10.477847078614563,-9.384799003396374,-9.934680934609622,-10.53346407132295
RASSF2,-10.817268200669771,-9.956961188433544,-10.307112469849447,-10.123062052146365,-10.478011142416511,-9.146920554178761,-9.372980134635036,-10.440111645783603
SON,-11.350991403158645,-11.733349759807933,-10.8592089284109,-10.286109771357756,-10.221499694934323,-10.62050742388403,-10.967624433183802,-10.408386938272832
CORO1A,-10.51967728395082,-11.317094282372418,-11.316731866536832,-10.385818419555589,-10.573298894078436,-9.807238149425075,-10.45144815280433,-10.56147336427813
ETS1,-11.479372147973821,-12.778901911622341,-10.538320217192977,-10.245352481949793,-10.334004121191343,-11.699581419367,-10.758720695916415,-10.752533353204576
TRIP12,-11.130987056095403,-10.985120639271761,-10.57875950677437,-10.226641955155417,-10.30431738581374,-10.777664750092224,-10.610612522293044,-10.80695792542004
CDC42SE1,-10.510903518570533,-10.587892613850093,-10.42632875060275,-10.529218556878917,-10.469178288044317,-10.084033141989986,-10.089176482756482,-10.780257836149532
PICALM,-10.829821851185391,-10.136092407471649,-10.208827868821697,-10.339762803896061,-10.390480743223456,-10.44319937904425,-9.828807091610395,-10.292854864485243
IRF1,-9.817628799307155,-9.582175479243936,-10.849766575214128,-10.986387344600535,-10.850955036695115,-10.1770476041261,-10.982384171215433,-11.23374177081702
RPLP0,-10.62955912259192,-12.111179188616134,-9.756884886874085,-10.743326985509777,-10.77723069724194,-10.989633650829145,-9.818583869686751,-10.104687436902902
PIK3AP1,-9.66653962599992,-9.109438618572293,-10.633633144349362,-10.628790786283448,-10.683818491917268,-10.098705349976616,-10.334088733963966,-10.582239586108285
USP15,-10.467063196538549,-9.871877180451373,-10.646760578334975,-10.637811785124534,-10.097847113504027,-10.826865614221365,-10.87997555604292,-10.666722239488331
NIN,-11.297368679319748,-10.598951191994763,-10.317151559642596,-10.084949759714297,-10.030727187401075,-10.495119997908244,-10.41787925197107,-10.720601473733542
RPS4X,-10.380876492343733,-12.204035288636693,-9.839330302014426,-11.1219810924719,-10.699802087671182,-11.226101257377316,-10.08096644932545,-10.683308410750232
MX1,-8.513384006230398,-8.656591929480804,-10.880760471490282,-11.328052044650263,-11.040507389589173,-12.099784807595917,-13.043219192393583,-10.395135914774976
GBP2,-10.10728235290201,-9.193268857767622,-10.513098481493374,-10.889655379418764,-10.558650347652577,-10.369891615868253,-10.636059422020605,-11.568893560860547
SLA,-9.80291766748373,-8.95184826503989,-10.447766599038028,-10.072143028227442,-10.926410117120641,-9.247408450559217,-9.980787386281104,-10.556723312294372
ENO1,-11.485852754906217,-11.50650800559752,-10.318621447738051,-10.299926381190648,-10.929996682152115,-10.228460530251239,-9.666998507215961,-11.134458854303729
HERC1,-11.810075090999394,-12.171974079404395,-10.987270098964062,-10.236301036875245,-9.87678800186303,-11.367722910182188,-11.087702590197615,-10.622207499937556
LNPEP,-11.291680207217226,-11.350346088168804,-10.58607452483885,-10.428611964256591,-10.191999036997448,-12.193982482874983,-11.120481236930845,-10.788277970351775
UBE2D3,-10.10434646454473,-10.225469425983192,-10.539054350890893,-10.772107493585414,-10.872576065900237,-10.937881037985697,-10.510782895106995,-10.53683819097401
FBXO7,-10.927107774921371,-10.920990301852045,-11.983268168406566,-10.863739954673907,-10.670445284611636,-11.178187323770013,-11.138933829789549,-9.83511977118405
ARHGAP30,-10.903694822612641,-11.018584445688381,-10.945469006663386,-10.366579132134849,-10.466897089175934,-10.340531146227924,-10.58508671390791,-11.122710458428276
DDX6,-11.096740998621584,-11.47846159267578,-10.472563349444158,-10.611891463537445,-10.636903499925655,-11.112559569398643,-10.521355767643808,-10.76556756031204
DCAF12,-10.352558130958833,-10.55521655961753,-12.6305002548644,-10.93788998821297,-11.210826193419871,-10.48678024221298,-10.612377502988943,-8.9871228646291
DOCK2,-11.482799430928663,-11.129663274546429,-10.600050543824981,-10.334834490836784,-10.264435237805008,-10.75066215666212,-10.788142308338708,-10.795720953537337
RPL10,-10.648037765874761,-12.38668030759571,-10.448685952289397,-11.042403293193917,-10.859479109001654,-10.998330656314302,-9.676845036867103,-10.4832760983924
HNRNPA2B1,-10.865664000201313,-11.75199075752075,-10.66694588977929,-10.214822955718253,-10.216153073468845,-12.422793168382412,-10.979647906685583,-11.610401194300726
FAM129A,-10.82160134438042,-9.418849185940184,-10.54052373995788,-10.115128153018576,-10.600725700495737,-9.356641253806448,-9.12860415127195,-10.736031514303148
PLXNC1,-10.758855329831247,-9.974136332241676,-10.377366329993047,-10.030618999537245,-10.410225894384897,-9.392127180075638,-9.831579827354009,-10.53346407132295
IFI16,-9.787883909273736,-9.383043661454241,-10.50494764037251,-10.970456609824465,-11.020056938184714,-10.917223600551353,-11.262638822567117,-10.99085558350543
FYB,-10.518504361088743,-10.809404000019686,-10.798177686783792,-10.593260499426064,-10.488715509503603,-10.883163174117415,-10.89171612941853,-10.755856492659397
RPL23A,-10.739366900239885,-11.821787724475518,-10.392986970266428,-11.007335310597417,-10.947610019280319,-11.19783001393367,-10.145946811670857,-11.257525330430514
TLR4,-9.786824445689914,-9.39128710780887,-10.236742991780778,-10.20866267262061,-10.756783655780975,-9.068510305396975,-9.415026932438057,-10.482775423377522
FPR1,-9.181221064563916,-8.58514116349693,-10.256328292425627,-10.070205724400376,-10.779655395360397,-9.35649789463299,-9.62844954502767,-10.456731050774957
SLC2A3,-10.234390403866248,-9.408500242982253,-10.249302980952784,-10.231713236920546,-10.472606863851224,-9.180215717834752,-9.094408662506224,-10.536058847275816
SAMHD1,-10.184085322018182,-10.333624387294906,-10.99094831290451,-10.459682440344155,-11.137984923597887,-11.925068386801303,-11.104992414127233,-11.247284328841294
RNF149,-10.068572340767735,-9.414349014672096,-10.547646961406945,-10.378608164707257,-10.791840392126291,-10.120936414393517,-10.181925463225175,-10.908868111165363
SDCBP,-10.023367812291367,-10.015321435055117,-10.596989662109147,-10.45238552165831,-10.987927474467808,-9.676670994777957,-9.522185045726586,-10.584655037396736
SP100,-10.380876492343733,-9.90993087597365,-10.910533664306781,-10.95277664081348,-10.742522962655805,-11.257879966049977,-11.22867215299386,-10.956734422430621
UBA52,-10.438128056829107,-11.3406610347389,-11.245902991066252,-11.257340537106762,-11.203482833969542,-11.34450629744834,-10.795742826618516,-10.015990279188085
TMBIM6,-10.57998137166145,-10.523685643314408,-10.433363533911054,-10.84986778009235,-11.140579699550756,-10.306761867406598,-9.921164326614988,-11.026168064192117
BACH1,-10.786589114959291,-10.015617767610518,-10.47537106043263,-10.835494768144663,-10.598761999710003,-10.68366785069777,-10.463503728519115,-11.028723769095873
AQP9,-9.596181230346405,-9.042540081867914,-10.358237352505947,-10.025195735347406,-10.735641269685017,-9.31140890239679,-9.349019355674384,-10.410289916343816
RPL7A,-10.771840136593395,-12.157514144732865,-10.390776620453199,-11.071919360356775,-11.137725702495601,-11.593393747004427,-10.066014848171305,-11.29483100897929
RSAD2,-7.270216930993449,-7.09007856498921,-10.666411063066626,-12.732798476756685,-11.114839586950028,-12.083084000481483,-14.695431934523935,-10.204140574051673
RBM39,-11.261278728676675,-11.031111543564544,-10.633371810222954,-10.60594219720626,-10.306355296612944,-11.775363188783743,-11.052294278029219,-11.017439859858534
