,Mean Diff,Initial p-val,Adjusted p-values
NASP,0.48778432186163734,0.0007592205097012236,0.04353279130215814
RILPL2,-0.31938556647759775,0.000795325572205791,0.04458284817698639
MCM8,0.5202988492889595,0.0008033482954779737,0.04458284817698639
KCNJ2,-0.7962097510940609,0.0007905187533315809,0.04458284817698639
GNAZ,-0.757443962005059,0.000811231325861743,0.04458284817698639
PSTPIP1,-0.36272389247396397,0.0008157730725227663,0.04458284817698639
FRAT2,-0.7021148159852348,0.0008068433827758893,0.04458284817698639
CLEC4A,-0.6140170219709855,0.0007829290912727065,0.04458284817698639
ERCC4,0.412780731301682,0.0008071480140880846,0.04458284817698639
WHSC1,0.5313912622657941,0.0008127531019090835,0.04458284817698639
IL1B,-0.8601376764257509,0.0008282390493550482,0.04488063153888158
GINS2,0.9854533781853085,0.0008297762811915588,0.04488063153888158
BAG1,-0.6241048904001705,0.0008590655863158172,0.04619217422856475
FAM212B,-0.9375115094870079,0.000871633517321626,0.04619217422856475
CCDC6,0.31101310581014197,0.0008687833806273887,0.04619217422856475
SFXN1,0.47511011904813927,0.0008641045699691026,0.04619217422856475
HJURP,1.1223174082439087,0.0008824188873450113,0.04652875067794575
SLC15A3,-0.4935959965761434,0.0008919388006130054,0.04656275539717545
PACSIN2,-0.3551736510806851,0.0008906855558286711,0.04656275539717545
ALAD,0.19861513244179996,0.000921570447132863,0.04787147872160956
STMN1,0.9541599458495256,0.000927420118232594,0.047938026111402014
HMGCS1,0.33298502023628096,0.0009539830057207622,0.04832653443018169
FARSB,0.5508452588680655,0.0009631041020546564,0.04832653443018169
SLC26A2,0.274478954990272,0.0009671754722518017,0.04832653443018169
CHSY1,-0.39931777634886956,0.0009670292266487424,0.04832653443018169
CDK6,0.5040364735263108,0.0009622801454135138,0.04832653443018169
MMS22L,0.5989593428885378,0.0009610537991663537,0.04832653443018169
TUBGCP4,0.38185852660916453,0.0009479714948332775,0.04832653443018169
TIMELESS,0.5390647640089181,0.0009857839878926777,0.049022897559042024
ATAD5,0.6893192342545724,0.000991832112564572,0.049091011118585166
FHL1,-0.7496600659672303,0.0010091256691934325,0.04932487144840294
CD300LF,-0.4431808101549706,0.0010106592358149844,0.04932487144840294
ATIC,0.5025271782404683,0.0010030707838578417,0.04932487144840294
RACGAP1,0.733792799977298,0.0010231635288465485,0.04947490741099923
FCGRT,-0.5541658125540856,0.001022196291872946,0.04947490741099923
HSPA6,-0.7364483957503509,0.0010369889518948453,0.04976351805369972
IL13RA1,-0.672265201068857,0.0010433597609657808,0.04976351805369972
JAML,-0.5668449551789028,0.0010426844576776981,0.04976351805369972
